Name,log_lambda,dlog_lambda,delta_tau,omega,D,flux
And XVIII,-5.785014975059087,1.13,26616.276473847127,0.046371115637752855,1.31,0.0
PAndAS-03,-8.325368360989655,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-04,-6.145368360989655,0.78,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-05,-7.945368360989655,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
And XX,-6.413377592386729,0.78,9926.237948407523,0.12433979929054323,0.8,0.0
NGC0059,-1.7373750482592532,0.78,34896.930287370196,0.0033143470031631677,4.9,0.0
And XIX,-5.722591669262745,1.13,13414.38000246511,0.09200771366163447,0.93,0.0
And XXVI,-7.697930381809033,1.13,8958.429748437791,0.1377726307928457,0.76,0.0
Sc22,-4.887375048259253,0.78,34896.930287370196,0.004323899106500599,4.29,0.0
And XXV,-6.262587528613316,1.13,10175.944871797152,0.12128863213831377,0.81,0.0
NGC0147,-6.677930381809033,0.78,8958.429748437791,0.1377726307928457,0.76,0.0
And III,-6.569435039587216,0.78,8724.232571842549,0.1414710605261292,0.75,0.0
Cas III,-5.105368360989655,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
And XXX,-6.864539740958143,1.13,7171.706917724439,0.17209660801459267,0.68,0.0
And XXVII,-6.751401381618468,1.13,10684.664566653038,0.11551382137603089,0.83,0.0
NGC0185,-5.200469695286879,0.78,6756.045703634873,0.18268473724965026,0.66,0.0
And I,-6.922911846129704,0.78,8265.144066728702,0.1493290890334916,0.73,0.0
And XI,-6.132911846129704,0.78,8265.144066728702,0.1493290890334916,0.73,0.0
And XII,-7.211401381618468,1.13,10684.664566653038,0.11551382137603089,0.83,0.0
Scl-MM-Dw1,-5.337375048259253,1.13,34896.930287370196,0.005126225330847721,3.94,0.0
Bol520,-6.7608764674634525,0.78,6155.818502692104,0.20049753475925342,0.63,0.0
And XIV,-6.202911846129704,0.78,8265.144066728702,0.1493290890334916,0.73,0.0
And XIII,-7.210998994246852,1.13,10943.677338119296,0.11277986330208004,0.84,0.0
And IX,-7.184303383789732,0.78,9679.632974376776,0.12750756536764565,0.79,0.0
PAndAS-48,-7.971929861603183,1.13,10428.753744545655,0.11834841098445521,0.82,0.0
And XVI,-6.637550879101017,0.78,4193.835533202181,0.294295382936197,0.52,0.0
Sculptor,-10.521072547491967,0.78,125.62894903453277,9.824379203203415,0.09,0.0
