Name,log_lambda,dlog_lambda,delta_tau,omega,D,flux
And XVIII,-3.4948527009263324,0.98,26616.276473847127,0.046371115637752855,1.31,0.0
PAndAS-03,-6.025206086856901,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-04,-4.0752060868569,0.48,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-05,-5.6552060868569,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And XX,-4.353215318253974,0.48,9926.237948407523,0.12433979929054323,0.8,0.0
NGC0059,0.18278722587350105,0.36,34896.930287370196,0.0033143470031631677,4.9,0.003041199856026257
And XIX,-3.4224293951299907,0.98,13414.38000246511,0.09200771366163447,0.93,0.0
And XXVI,-5.407768107676279,0.98,8958.429748437791,0.1377726307928457,0.76,0.0
Sc22,-2.6072127741264994,0.48,34896.930287370196,0.004323899106500599,4.29,0.0
And XXV,-3.9724252544805623,0.98,10175.944871797152,0.12128863213831377,0.81,0.0
NGC0147,-3.8477681076762784,0.48,8958.429748437791,0.1377726307928457,0.76,0.0
And III,-4.1892727654544615,0.48,8724.232571842549,0.1414710605261292,0.75,0.0
Cas III,-2.805206086856901,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And XXX,-4.5643774668253885,0.98,7171.706917724439,0.17209660801459267,0.68,0.0
And XXVII,-4.451239107485714,0.98,10684.664566653038,0.11551382137603089,0.83,0.0
NGC0185,-2.7203074211541236,0.48,6756.045703634873,0.18268473724965026,0.66,0.0
And I,-4.342749571996949,0.36,8265.144066728702,0.1493290890334916,0.73,0.0
And XI,-4.072749571996949,0.36,8265.144066728702,0.1493290890334916,0.73,0.0
And XII,-4.911239107485714,0.98,10684.664566653038,0.11551382137603089,0.83,0.0
Scl-MM-Dw1,-3.037212774126499,0.98,34896.930287370196,0.005126225330847721,3.94,0.0
Bol520,-4.580714193330698,0.48,6155.818502692104,0.20049753475925342,0.63,0.0
And XIV,-4.012749571996949,0.48,8265.144066728702,0.1493290890334916,0.73,0.0
And XIII,-4.910836720114098,0.98,10943.677338119296,0.11277986330208004,0.84,0.0
And IX,-4.574141109656978,0.36,9679.632974376776,0.12750756536764565,0.79,0.0
PAndAS-48,-5.6817675874704285,0.98,10428.753744545655,0.11834841098445521,0.82,0.0
And XVI,-4.5173886049682626,0.48,4193.835533202181,0.294295382936197,0.52,0.0
Sculptor,-7.550910273359212,0.48,125.62894903453277,9.824379203203415,0.09,0.0
PAndAS-50,-5.115206086856901,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And X,-4.030714193330699,0.48,6155.818502692104,0.20049753475925342,0.63,0.0
PAndAS-C02,-5.525206086856901,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And V,-4.192425254480562,0.48,10175.944871797152,0.12128863213831377,0.81,0.0
And XV,-4.377768107676278,0.98,8958.429748437791,0.1377726307928457,0.76,0.0
And II,-4.41356857895215,0.36,6552.868020628406,0.18834904507916608,0.65,0.0
And XXIV,-4.893092791470574,0.98,5583.508845979233,0.22104853207207686,0.6,0.0
PAndAS-55,-5.535206086856901,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-56,-4.615206086856901,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And XXII,-4.364141109656978,0.48,9679.632974376776,0.12750756536764565,0.79,0.0
PAndAS-57,-5.375206086856901,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-58,-5.2352060868569,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And XXIII,-4.072749571996949,0.48,8265.144066728702,0.1493290890334916,0.73,0.0
Segue 2,-9.075152782798536,0.48,13.958772114948081,88.41941282883074,0.03,0.0
Eridanus 3,-8.780910273359213,0.98,125.62894903453277,9.824379203203415,0.09,0.0
[KK2000] 03,-2.207212774126499,0.98,34896.930287370196,0.019894367886486918,2.0,0.0
Fornax,-6.257139220881386,0.48,303.9910371699805,4.06007507887488,0.14,0.0
Horologium 1,-8.343215318253973,0.98,99.26237948407527,12.433979929054322,0.08,0.0
Horologium 2,-8.633215318253974,0.98,99.26237948407527,12.433979929054322,0.08,0.0
Reticulum 2,-9.465152782798535,0.98,13.958772114948081,88.41941282883074,0.03,0.0
Eridanus 2,-5.776790290703286,0.98,2010.0631845525243,0.6140237002002135,0.36,0.0
Pictoris 1,-8.106609921921413,0.98,187.66793621207975,6.57665054098741,0.11,0.0
Carina,-7.1193952922378605,0.48,155.09746794386757,7.957747154594767,0.1,0.0
DDO044,-2.5672127741264994,0.36,34896.930287370196,0.007722893949587803,3.21,0.0
KK70,-1.8172127741264994,0.48,34896.930287370196,0.0009220589930947394,9.29,0.0
KK72,-1.7472127741264991,0.48,34896.930287370196,0.0008285867507907919,9.8,0.0
NGC2784 dw01,-1.377212774126499,0.98,34896.930287370196,0.0008285867507907919,9.8,0.0
UGC05086,-1.8972127741264995,0.48,34896.930287370196,0.001004639206488419,8.9,0.0
[CKT2009]d0934+70,-2.1972127741264993,0.48,34896.930287370196,0.008725217265245786,3.02,0.0
[CKT2009]d0944+69,-3.9372127741264995,0.98,34896.930287370196,0.005396692677540939,3.84,0.0
F8D1,-1.8472127741264988,0.48,34896.930287370196,0.005658842421045168,3.75,0.0
FM1,-2.4472127741264993,0.48,34896.930287370196,0.005569375965534817,3.78,0.0
KK77,-2.297212774126499,0.48,34896.930287370196,0.005510905231713828,3.8,0.0
[CKT2009]d0955+70,-3.337212774126499,0.98,34896.930287370196,0.00668577790766206,3.45,0.0
KKSG16,-1.9472127741264993,0.98,34896.930287370196,0.0008457590769045348,9.7,0.0
KKH57,-2.5672127741264994,0.48,34896.930287370196,0.005876171989156107,3.68,0.0
BK5N,-2.7672127741264987,0.36,34896.930287370196,0.005812817497877843,3.7,0.0
KDG063,-1.6872127741264995,0.48,34896.930287370196,0.005973163561339665,3.65,0.0
KDG065,-1.9072127741264993,0.48,34896.930287370196,0.0008457590769045348,9.7,0.0
[CKT2009]d1006+67,-3.507212774126499,0.98,34896.930287370196,0.006106266184724463,3.61,0.0
KDG064,-2.4072127741264993,0.36,34896.930287370196,0.005658842421045168,3.75,0.0
Segue 1,-10.367335300909899,0.98,6.203898717754704,198.94367886486916,0.02,0.0
IKN,-2.327212774126499,0.48,34896.930287370196,0.005658842421045168,3.75,0.0
SexDSph,-7.390910273359212,0.48,125.62894903453277,9.824379203203415,0.09,0.0
DDO078,-2.4472127741264993,0.36,34896.930287370196,0.006571002736982071,3.48,0.0
BK6N,-2.5672127741264994,0.48,34896.930287370196,0.007263302776165577,3.31,0.0
UMa I,-7.319395292237861,0.98,155.09746794386757,7.957747154594767,0.1,0.0
LeG14,-2.247212774126499,0.98,34896.930287370196,0.0007357384573404925,10.4,0.0
KK93,-1.957212774126499,0.98,34896.930287370196,0.0007357384573404925,10.4,0.0
KK96,-1.9772127741264987,0.48,34896.930287370196,0.0007357384573404925,10.4,0.0
LSBC D640-08,-2.0172127741264987,0.48,34896.930287370196,0.0007357384573404925,10.4,0.0
LeoII,-6.053515274893786,0.48,969.3591746491721,1.2732395447351628,0.25,0.0
LeoV,-7.21885028203125,0.98,502.5157961381308,2.456094800800854,0.18,0.0
