Name,log_lambda,dlog_lambda,delta_tau,omega,D,flux
And XVIII,-4.234975227709733,1.13,47317.82484239487,0.046371115637752855,1.31,0.0
PAndAS-03,-6.775328613640301,1.13,16775.34213280871,0.13079794797164312,0.78,0.0
PAndAS-04,-4.5953286136403015,0.78,16775.34213280871,0.13079794797164312,0.78,0.0
PAndAS-05,-6.3953286136403005,1.13,16775.34213280871,0.13079794797164312,0.78,0.0
And XX,-4.863337845037375,0.78,17646.645241613372,0.12433979929054323,0.8,0.0
NGC0059,-0.18733530090989925,0.78,62038.98717754699,0.0033143470031631677,4.9,0.0001639947808079551
And XIX,-4.17255192191339,1.13,23847.786671049078,0.09200771366163447,0.93,0.0
And XXVI,-6.147890634459679,1.13,15926.097330556062,0.1377726307928457,0.76,0.0
Sc22,-3.337335300909899,0.78,62038.98717754699,0.004323899106500599,4.29,0.0
And XXV,-4.712547781263962,1.13,18090.56866097271,0.12128863213831377,0.81,0.0
NGC0147,-5.127890634459679,0.78,15926.097330556062,0.1377726307928457,0.76,0.0
And III,-5.019395292237862,0.78,15509.746794386749,0.1414710605261292,0.75,0.0
Cas III,-3.555328613640301,1.13,16775.34213280871,0.13079794797164312,0.78,0.0
And XXX,-5.314499993608789,1.13,12749.701187065662,0.17209660801459267,0.68,0.0
And XXVII,-5.201361634269114,1.13,18994.959229605392,0.11551382137603089,0.83,0.0
NGC0185,-3.650429947937525,0.78,12010.747917573102,0.18268473724965026,0.66,0.0
And I,-5.37287209878035,0.78,14693.589451962138,0.1493290890334916,0.73,0.0
And XI,-4.582872098780349,0.78,14693.589451962138,0.1493290890334916,0.73,0.0
And XII,-5.661361634269114,1.13,18994.959229605392,0.11551382137603089,0.83,0.0
Scl-MM-Dw1,-3.7873353009098993,1.13,62038.98717754699,0.005126225330847721,3.94,0.0
Bol520,-5.210836720114099,0.78,10943.677338119292,0.20049753475925342,0.63,0.0
And XIV,-4.65287209878035,0.78,14693.589451962138,0.1493290890334916,0.73,0.0
And XIII,-5.660959246897498,1.13,19455.42637887874,0.11277986330208004,0.84,0.0
