Name,log_lambda,dlog_lambda,delta_tau,omega,D,flux
And XVIII,-5.494852700926333,0.98,26616.276473847127,0.046371115637752855,1.31,-0.2548024500070736
PAndAS-03,-8.025206086856901,0.98,9436.129949704902,0.13079794797164312,0.78,-1.0496804882104227
PAndAS-04,-6.0752060868569,0.48,9436.129949704902,0.13079794797164312,0.78,-0.7946244896657184
PAndAS-05,-7.6552060868569,0.98,9436.129949704902,0.13079794797164312,0.78,-1.0012852474609146
And XX,-6.353215318253974,0.48,9926.237948407523,0.12433979929054323,0.8,-0.7899575175213038
NGC0059,-1.8172127741264987,0.36,34896.930287370196,0.0033143470031631677,4.9,-0.006022873712035987
And XIX,-5.422429395129991,0.98,13414.38000246511,0.09200771366163447,0.93,-0.49890533113755003
And XXVI,-7.4077681076762785,0.98,8958.429748437791,0.1377726307928457,0.76,-1.0205877004979012
Sc22,-4.607212774126499,0.48,34896.930287370196,0.004323899106500599,4.29,-0.019921123197503717
And XXV,-5.972425254480562,0.98,10175.944871797152,0.12128863213831377,0.81,-0.7243872896642679
NGC0147,-5.847768107676278,0.48,8958.429748437791,0.1377726307928457,0.76,-0.8056623964610619
And III,-6.1892727654544615,0.48,8724.232571842549,0.1414710605261292,0.75,-0.8756029820143312
Cas III,-4.8052060868569,0.98,9436.129949704902,0.13079794797164312,0.78,-0.6285110957417317
And XXX,-6.5643774668253885,0.98,7171.706917724439,0.17209660801459267,0.68,-1.1297070957680737
And XXVII,-6.451239107485714,0.98,10684.664566653038,0.11551382137603089,0.83,-0.7452072819161697
NGC0185,-4.720307421154124,0.48,6756.045703634873,0.18268473724965026,0.66,-0.8623281209711153
And I,-6.342749571996949,0.36,8265.144066728702,0.1493290890334916,0.73,-0.9471570155538731
And XI,-6.072749571996949,0.36,8265.144066728702,0.1493290890334916,0.73,-0.9068381615148304
And XII,-6.911239107485714,0.98,10684.664566653038,0.11551382137603089,0.83,-0.7983436397491439
Scl-MM-Dw1,-5.037212774126499,0.98,34896.930287370196,0.005126225330847721,3.94,-0.025821887719596977
Bol520,-6.580714193330698,0.48,6155.818502692104,0.20049753475925342,0.63,-1.3194169727180338
And XIV,-6.012749571996949,0.48,8265.144066728702,0.1493290890334916,0.73,-0.8978784161728208
And XIII,-6.910836720114098,0.98,10943.677338119296,0.11277986330208004,0.84,-0.7794032205974631
And IX,-6.574141109656978,0.36,9679.632974376776,0.12750756536764565,0.79,-0.8382527272757136
PAndAS-48,-7.681767587470428,0.98,10428.753744545655,0.11834841098445521,0.82,-0.9091249875290172
And XVI,-6.5173886049682626,0.48,4193.835533202181,0.294295382936197,0.52,-1.9180373752431417
Sculptor,-9.55091027335921,0.48,125.62894903453277,9.824379203203415,0.09,-93.83176426125208
PAndAS-50,-7.1152060868569,0.98,9436.129949704902,0.13079794797164312,0.78,-0.9306543555562273
And X,-6.030714193330698,0.48,6155.818502692104,0.20049753475925342,0.63,-1.2091433286004445
PAndAS-C02,-7.5252060868569,0.98,9436.129949704902,0.13079794797164312,0.78,-0.984281514224601
And V,-6.192425254480562,0.48,10175.944871797152,0.12128863213831377,0.81,-0.7510707887346969
And XV,-6.377768107676278,0.98,8958.429748437791,0.1377726307928457,0.76,-0.8786818907812701
And II,-6.413568578952151,0.36,6552.868020628406,0.18834904507916608,0.65,-1.2079895173953819
And XXIV,-6.893092791470574,0.98,5583.508845979233,0.22104853207207686,0.6,-1.523708042991185
PAndAS-55,-7.5352060868569,0.98,9436.129949704902,0.13079794797164312,0.78,-0.9855894937043174
