Name,log_lambda,dlog_lambda,delta_tau,omega,D,flux
And XVIII,-5.5360052233737145,1.13,47317.82484239487,0.046371115637752855,1.31,0.0
PAndAS-03,-8.076358609304283,1.13,16775.34213280871,0.13079794797164312,0.78,0.0
PAndAS-04,-5.896358609304282,0.78,16775.34213280871,0.13079794797164312,0.78,0.0
PAndAS-05,-7.696358609304282,1.13,16775.34213280871,0.13079794797164312,0.78,0.0
And XX,-6.164367840701356,0.78,17646.645241613372,0.12433979929054323,0.8,0.0
NGC0059,-1.4883652965738803,0.78,62038.98717754699,0.0033143470031631677,4.9,0.0
And XIX,-5.473581917577372,1.13,23847.786671049078,0.09200771366163447,0.93,0.0
And XXVI,-7.44892063012366,1.13,15926.097330556062,0.1377726307928457,0.76,0.0
Sc22,-4.63836529657388,0.78,62038.98717754699,0.004323899106500599,4.29,0.0
And XXV,-6.013577776927943,1.13,18090.56866097271,0.12128863213831377,0.81,0.0
NGC0147,-6.4289206301236606,0.78,15926.097330556062,0.1377726307928457,0.76,0.0
And III,-6.320425287901843,0.78,15509.746794386749,0.1414710605261292,0.75,0.0
Cas III,-4.856358609304282,1.13,16775.34213280871,0.13079794797164312,0.78,0.0
And XXX,-6.61552998927277,1.13,12749.701187065662,0.17209660801459267,0.68,0.0
And XXVII,-6.502391629933095,1.13,18994.959229605392,0.11551382137603089,0.83,0.0
NGC0185,-4.951459943601506,0.78,12010.747917573102,0.18268473724965026,0.66,0.0
And I,-6.673902094444331,0.78,14693.589451962138,0.1493290890334916,0.73,0.0
And XI,-5.8839020944443305,0.78,14693.589451962138,0.1493290890334916,0.73,0.0
And XII,-6.962391629933095,1.13,18994.959229605392,0.11551382137603089,0.83,0.0
Scl-MM-Dw1,-5.088365296573881,1.13,62038.98717754699,0.005126225330847721,3.94,0.0
Bol520,-6.511866715778079,0.78,10943.677338119292,0.20049753475925342,0.63,0.0
And XIV,-5.953902094444331,0.78,14693.589451962138,0.1493290890334916,0.73,0.0
And XIII,-6.961989242561479,1.13,19455.42637887874,0.11277986330208004,0.84,0.0
And IX,-6.93529363210436,0.78,17208.236398892044,0.12750756536764565,0.79,0.0
PAndAS-48,-7.72292010991781,1.13,18540.006656970043,0.11834841098445521,0.82,0.0
And XVI,-6.388541127415644,0.78,7455.70761458165,0.294295382936197,0.52,0.0
Sculptor,-10.272062795806594,0.78,223.34035383916918,9.824379203203415,0.09,0.0
PAndAS-50,-7.1663586093042815,1.13,16775.34213280871,0.13079794797164312,0.78,0.0
And X,-5.771866715778079,0.78,10943.677338119292,0.20049753475925342,0.63,0.0
PAndAS-C02,-7.566358609304282,1.13,16775.34213280871,0.13079794797164312,0.78,0.0
And V,-6.343577776927943,0.78,18090.56866097271,0.12128863213831377,0.81,0.0
