Name,log_lambda,dlog_lambda,delta_tau,omega,D,flux
And XVIII,-4.581762713934389,1.13,425860.42358155403,0.046371115637752855,1.31,0.0
PAndAS-03,-7.122116099864957,1.13,150978.07919527843,0.13079794797164312,0.78,0.0
PAndAS-04,-4.942116099864958,0.78,150978.07919527843,0.13079794797164312,0.78,0.0
PAndAS-05,-6.7421160998649565,1.13,150978.07919527843,0.13079794797164312,0.78,0.0
And XX,-5.210125331262031,0.78,158819.80717452036,0.12433979929054323,0.8,0.0
NGC0059,-0.5341227871345553,0.78,558350.8845979231,0.0033143470031631677,4.9,0.0
And XIX,-4.519339408138047,1.13,214630.08003944176,0.09200771366163447,0.93,0.0
And XXVI,-6.494678120684335,1.13,143334.87597500466,0.1377726307928457,0.76,0.0
Sc22,-3.684122787134555,0.78,558350.8845979231,0.004323899106500599,4.29,0.0
And XXV,-5.059335267488618,1.13,162815.11794875443,0.12128863213831377,0.81,0.0
NGC0147,-5.474678120684335,0.78,143334.87597500466,0.1377726307928457,0.76,0.0
And III,-5.366182778462518,0.78,139587.72114948079,0.1414710605261292,0.75,0.0
Cas III,-3.902116099864957,1.13,150978.07919527843,0.13079794797164312,0.78,0.0
And XXX,-5.661287479833445,1.13,114747.31068359103,0.17209660801459267,0.68,0.0
And XXVII,-5.54814912049377,1.13,170954.63306644862,0.11551382137603089,0.83,0.0
NGC0185,-3.997217434162181,0.78,108096.73125815796,0.18268473724965026,0.66,0.0
And I,-5.719659585005006,0.78,132242.30506765924,0.1493290890334916,0.73,0.0
And XI,-4.929659585005006,0.78,132242.30506765924,0.1493290890334916,0.73,0.0
And XII,-6.00814912049377,1.13,170954.63306644862,0.11551382137603089,0.83,0.0
Scl-MM-Dw1,-4.134122787134555,1.13,558350.8845979231,0.005126225330847721,3.94,0.0
Bol520,-5.557624206338755,0.78,98493.09604307366,0.20049753475925342,0.63,0.0
And XIV,-4.9996595850050065,0.78,132242.30506765924,0.1493290890334916,0.73,0.0
And XIII,-6.007746733122154,1.13,175098.83740990874,0.11277986330208004,0.84,0.0
And IX,-5.9810511226650345,0.78,154874.12759002842,0.12750756536764565,0.79,0.0
PAndAS-48,-6.768677600478485,1.13,166860.05991273047,0.11834841098445521,0.82,0.0
And XVI,-5.434298617976319,0.78,67101.3685312349,0.294295382936197,0.52,0.0
Sculptor,-9.317820286367269,0.78,2010.0631845525243,9.824379203203415,0.09,0.0
PAndAS-50,-6.212116099864957,1.13,150978.07919527843,0.13079794797164312,0.78,0.0
And X,-4.817624206338754,0.78,98493.09604307366,0.20049753475925342,0.63,0.0
PAndAS-C02,-6.6121160998649575,1.13,150978.07919527843,0.13079794797164312,0.78,0.0
And V,-5.389335267488618,0.78,162815.11794875443,0.12128863213831377,0.81,0.0
And XV,-5.474678120684335,1.13,143334.87597500466,0.1377726307928457,0.76,0.0
And II,-5.9104785919602065,0.78,104845.8883300545,0.18834904507916608,0.65,0.0
And XXIV,-5.98000280447863,1.13,89336.14153566773,0.22104853207207686,0.6,0.0
PAndAS-55,-6.622116099864957,1.13,150978.07919527843,0.13079794797164312,0.78,0.0
PAndAS-56,-5.702116099864957,1.13,150978.07919527843,0.13079794797164312,0.78,0.0
And XXII,-5.2310511226650345,0.78,154874.12759002842,0.12750756536764565,0.79,0.0
PAndAS-57,-6.462116099864957,1.13,150978.07919527843,0.13079794797164312,0.78,0.0
PAndAS-58,-6.332116099864956,1.13,150978.07919527843,0.13079794797164312,0.78,0.0
And XXIII,-5.229659585005006,0.78,132242.30506765924,0.1493290890334916,0.73,0.0
Segue 2,-10.082062795806593,0.78,223.3403538391693,88.41941282883074,0.03,0.0
Eridanus 3,-9.87782028636727,1.13,2010.0631845525243,9.824379203203415,0.09,0.0
[KK2000] 03,-3.3041227871345553,1.13,558350.8845979231,0.019894367886486918,2.0,0.0
Fornax,-7.964049233889441,0.78,4863.856594719688,4.06007507887488,0.14,0.0
Horologium 1,-9.43012533126203,1.13,1588.1980717452043,12.433979929054322,0.08,0.0
Horologium 2,-9.73012533126203,1.13,1588.1980717452043,12.433979929054322,0.08,0.0
Reticulum 2,-10.562062795806593,1.13,223.3403538391693,88.41941282883074,0.03,0.0
Eridanus 2,-6.8737003037113436,1.13,32161.01095284039,0.6140237002002135,0.36,0.0
Pictoris 1,-9.193519934929467,1.13,3002.686979393276,6.57665054098741,0.11,0.0
Carina,-8.686305305245918,0.78,2481.559487101881,7.957747154594767,0.1,0.0
DDO044,-3.7441227871345557,0.78,558350.8845979231,0.007722893949587803,3.21,0.0
KK70,-2.8741227871345556,0.78,558350.8845979231,0.0009220589930947394,9.29,0.0
KK72,-2.774122787134555,0.78,558350.8845979231,0.0008285867507907919,9.8,0.0
NGC2784 dw01,-2.4741227871345552,1.13,558350.8845979231,0.0008285867507907919,9.8,0.0
UGC05086,-3.144122787134555,0.78,558350.8845979231,0.001004639206488419,8.9,0.0
