Name,log_lambda,dlog_lambda,delta_tau,omega,D,flux
And XVIII,-5.183822705262352,1.13,106465.10589538851,0.046371115637752855,1.31,0.0
PAndAS-03,-7.724176091192919,1.13,37744.51979881961,0.13079794797164312,0.78,0.0
PAndAS-04,-5.544176091192919,0.78,37744.51979881961,0.13079794797164312,0.78,0.0
PAndAS-05,-7.344176091192919,1.13,37744.51979881961,0.13079794797164312,0.78,0.0
And XX,-5.812185322589993,0.78,39704.95179363009,0.12433979929054323,0.8,0.0
NGC0059,-1.1361827784625178,0.78,139587.72114948079,0.0033143470031631677,4.9,0.0
And XIX,-5.12139939946601,1.13,53657.52000986044,0.09200771366163447,0.93,0.0
And XXVI,-7.0967381120122965,1.13,35833.718993751165,0.1377726307928457,0.76,0.0
Sc22,-4.286182778462518,0.78,139587.72114948079,0.004323899106500599,4.29,0.0
And XXV,-5.66139525881658,1.13,40703.77948718861,0.12128863213831377,0.81,0.0
NGC0147,-6.076738112012297,0.78,35833.718993751165,0.1377726307928457,0.76,0.0
And III,-5.96824276979048,0.78,34896.930287370196,0.1414710605261292,0.75,0.0
Cas III,-4.504176091192919,1.13,37744.51979881961,0.13079794797164312,0.78,0.0
And XXX,-6.263347471161407,1.13,28686.827670897757,0.17209660801459267,0.68,0.0
And XXVII,-6.150209111821733,1.13,42738.658266612154,0.11551382137603089,0.83,0.0
NGC0185,-4.599277425490143,0.78,27024.18281453949,0.18268473724965026,0.66,0.0
And I,-6.321719576332969,0.78,33060.57626691481,0.1493290890334916,0.73,0.0
And XI,-5.531719576332969,0.78,33060.57626691481,0.1493290890334916,0.73,0.0
And XII,-6.6102091118217325,1.13,42738.658266612154,0.11551382137603089,0.83,0.0
Scl-MM-Dw1,-4.736182778462518,1.13,139587.72114948079,0.005126225330847721,3.94,0.0
Bol520,-6.159684197666716,0.78,24623.274010768415,0.20049753475925342,0.63,0.0
And XIV,-5.601719576332969,0.78,33060.57626691481,0.1493290890334916,0.73,0.0
And XIII,-6.609806724450117,1.13,43774.709352477184,0.11277986330208004,0.84,0.0
And IX,-6.583111113992997,0.78,38718.531897507106,0.12750756536764565,0.79,0.0
PAndAS-48,-7.3707375918064475,1.13,41715.01497818262,0.11834841098445521,0.82,0.0
And XVI,-6.036358609304282,0.78,16775.342132808724,0.294295382936197,0.52,0.0
Sculptor,-9.919880277695231,0.78,502.51579613813107,9.824379203203415,0.09,0.0
PAndAS-50,-6.814176091192919,1.13,37744.51979881961,0.13079794797164312,0.78,0.0
And X,-5.419684197666716,0.78,24623.274010768415,0.20049753475925342,0.63,0.0
PAndAS-C02,-7.214176091192919,1.13,37744.51979881961,0.13079794797164312,0.78,0.0
And V,-5.99139525881658,0.78,40703.77948718861,0.12128863213831377,0.81,0.0
And XV,-6.076738112012297,1.13,35833.718993751165,0.1377726307928457,0.76,0.0
And II,-6.512538583288169,0.78,26211.472082513625,0.18834904507916608,0.65,0.0
And XXIV,-6.582062795806593,1.13,22334.035383916933,0.22104853207207686,0.6,0.0
PAndAS-55,-7.224176091192919,1.13,37744.51979881961,0.13079794797164312,0.78,0.0
PAndAS-56,-6.304176091192919,1.13,37744.51979881961,0.13079794797164312,0.78,0.0
And XXII,-5.833111113992997,0.78,38718.531897507106,0.12750756536764565,0.79,0.0
PAndAS-57,-7.064176091192919,1.13,37744.51979881961,0.13079794797164312,0.78,0.0
PAndAS-58,-6.934176091192919,1.13,37744.51979881961,0.13079794797164312,0.78,0.0
And XXIII,-5.831719576332969,0.78,33060.57626691481,0.1493290890334916,0.73,0.0
Segue 2,-10.684122787134555,0.78,55.835088459792324,88.41941282883074,0.03,0.0
Eridanus 3,-10.47988027769523,1.13,502.51579613813107,9.824379203203415,0.09,0.0
[KK2000] 03,-3.906182778462518,1.13,139587.72114948079,0.019894367886486918,2.0,0.0
Fornax,-8.566109225217403,0.78,1215.964148679922,4.06007507887488,0.14,0.0
Horologium 1,-10.032185322589992,1.13,397.0495179363011,12.433979929054322,0.08,0.0
Horologium 2,-10.332185322589993,1.13,397.0495179363011,12.433979929054322,0.08,0.0
Reticulum 2,-11.164122787134556,1.13,55.835088459792324,88.41941282883074,0.03,0.0
Eridanus 2,-7.475760295039305,1.13,8040.252738210097,0.6140237002002135,0.36,0.0
Pictoris 1,-9.79557992625743,1.13,750.671744848319,6.57665054098741,0.11,0.0
Carina,-9.28836529657388,0.78,620.3898717754703,7.957747154594767,0.1,0.0
DDO044,-4.346182778462518,0.78,139587.72114948079,0.007722893949587803,3.21,0.0
KK70,-3.476182778462518,0.78,139587.72114948079,0.0009220589930947394,9.29,0.0
KK72,-3.3761827784625176,0.78,139587.72114948079,0.0008285867507907919,9.8,0.0
NGC2784 dw01,-3.0761827784625178,1.13,139587.72114948079,0.0008285867507907919,9.8,0.0
UGC05086,-3.7461827784625177,0.78,139587.72114948079,0.001004639206488419,8.9,0.0
[CKT2009]d0934+70,-3.5861827784625175,0.78,139587.72114948079,0.008725217265245786,3.02,0.0
[CKT2009]d0944+69,-5.636182778462518,1.13,139587.72114948079,0.005396692677540939,3.84,0.0
F8D1,-3.556182778462518,0.78,139587.72114948079,0.005658842421045168,3.75,0.0
FM1,-4.106182778462518,0.78,139587.72114948079,0.005569375965534817,3.78,0.0
KK77,-4.106182778462518,0.78,139587.72114948079,0.005510905231713828,3.8,0.0
[CKT2009]d0955+70,-5.026182778462518,1.13,139587.72114948079,0.00668577790766206,3.45,0.0
KKSG16,-3.646182778462518,1.13,139587.72114948079,0.0008457590769045348,9.7,0.0
KKH57,-4.176182778462517,0.78,139587.72114948079,0.005876171989156107,3.68,0.0
