Name,log_lambda,dlog_lambda,delta_tau,omega,D,flux
And XVIII,-3.7958826965903136,0.98,2661627.647384713,0.046371115637752855,1.31,0.0
PAndAS-03,-6.326236082520881,0.98,943612.9949704905,0.13079794797164312,0.78,0.0
PAndAS-04,-4.376236082520881,0.48,943612.9949704905,0.13079794797164312,0.78,0.0
PAndAS-05,-5.956236082520881,0.98,943612.9949704905,0.13079794797164312,0.78,0.0
And XX,-4.654245313917955,0.48,992623.7948407525,0.12433979929054323,0.8,0.0
NGC0059,-0.11824276979047976,0.36,3489693.02873702,0.0033143470031631677,4.9,0.0004986517467064299
And XIX,-3.723459390793972,0.98,1341438.000246511,0.09200771366163447,0.93,0.0
And XXVI,-5.70879810334026,0.98,895842.9748437792,0.1377726307928457,0.76,0.0
Sc22,-2.9082427697904802,0.48,3489693.02873702,0.004323899106500599,4.29,0.0
And XXV,-4.2734552501445435,0.98,1017594.4871797158,0.12128863213831377,0.81,0.0
NGC0147,-4.148798103340259,0.48,895842.9748437792,0.1377726307928457,0.76,0.0
And III,-4.490302761118443,0.48,872423.2571842552,0.1414710605261292,0.75,0.0
Cas III,-3.1062360825208817,0.98,943612.9949704905,0.13079794797164312,0.78,0.0
And XXX,-4.86540746248937,0.98,717170.691772444,0.17209660801459267,0.68,0.0
And XXVII,-4.752269103149695,0.98,1068466.4566653043,0.11551382137603089,0.83,0.0
NGC0185,-3.0213374168181044,0.48,675604.5703634875,0.18268473724965026,0.66,0.0
And I,-4.64377956766093,0.36,826514.4066728705,0.1493290890334916,0.73,0.0
And XI,-4.373779567660931,0.36,826514.4066728705,0.1493290890334916,0.73,0.0
And XII,-5.212269103149695,0.98,1068466.4566653043,0.11551382137603089,0.83,0.0
Scl-MM-Dw1,-3.33824276979048,0.98,3489693.02873702,0.005126225330847721,3.94,0.0
Bol520,-4.881744188994679,0.48,615581.8502692105,0.20049753475925342,0.63,0.0
And XIV,-4.31377956766093,0.48,826514.4066728705,0.1493290890334916,0.73,0.0
And XIII,-5.211866715778079,0.98,1094367.7338119294,0.11277986330208004,0.84,0.0
And IX,-4.875171105320959,0.36,967963.297437678,0.12750756536764565,0.79,0.0
PAndAS-48,-5.98279758313441,0.98,1042875.3744545652,0.11834841098445521,0.82,0.0
And XVI,-4.818418600632244,0.48,419383.5533202182,0.294295382936197,0.52,0.0
Sculptor,-7.851940269023193,0.48,12562.894903453276,9.824379203203415,0.09,0.0
PAndAS-50,-5.416236082520881,0.98,943612.9949704905,0.13079794797164312,0.78,0.0
And X,-4.331744188994679,0.48,615581.8502692105,0.20049753475925342,0.63,0.0
PAndAS-C02,-5.826236082520881,0.98,943612.9949704905,0.13079794797164312,0.78,0.0
And V,-4.493455250144542,0.48,1017594.4871797158,0.12128863213831377,0.81,0.0
And XV,-4.6787981033402595,0.98,895842.9748437792,0.1377726307928457,0.76,0.0
And II,-4.714598574616131,0.36,655286.8020628408,0.18834904507916608,0.65,0.0
And XXIV,-5.194122787134555,0.98,558350.8845979236,0.22104853207207686,0.6,0.0
PAndAS-55,-5.836236082520881,0.98,943612.9949704905,0.13079794797164312,0.78,0.0
PAndAS-56,-4.916236082520881,0.98,943612.9949704905,0.13079794797164312,0.78,0.0
And XXII,-4.665171105320959,0.48,967963.297437678,0.12750756536764565,0.79,0.0
PAndAS-57,-5.676236082520881,0.98,943612.9949704905,0.13079794797164312,0.78,0.0
PAndAS-58,-5.536236082520881,0.98,943612.9949704905,0.13079794797164312,0.78,0.0
And XXIII,-4.373779567660931,0.48,826514.4066728705,0.1493290890334916,0.73,0.0
Segue 2,-9.376182778462518,0.48,1395.8772114948083,88.41941282883074,0.03,0.0
Eridanus 3,-9.081940269023193,0.98,12562.894903453276,9.824379203203415,0.09,0.0
[KK2000] 03,-2.50824276979048,0.98,3489693.02873702,0.019894367886486918,2.0,0.0
Fornax,-6.558169216545367,0.48,30399.103716998055,4.06007507887488,0.14,0.0
Horologium 1,-8.644245313917954,0.98,9926.237948407526,12.433979929054322,0.08,0.0
