Name,log_lambda,dlog_lambda,delta_tau,omega,D,flux
And XVIII,-4.494852700926333,0.98,26616.276473847127,0.046371115637752855,1.31,-0.20843133436932074
PAndAS-03,-7.0252060868569,0.98,9436.129949704902,0.13079794797164312,0.78,-0.9188825402387795
PAndAS-04,-5.0752060868569,0.48,9436.129949704902,0.13079794797164312,0.78,-0.6638265416940753
PAndAS-05,-6.6552060868569,0.98,9436.129949704902,0.13079794797164312,0.78,-0.8704872994892715
And XX,-5.353215318253974,0.48,9926.237948407523,0.12433979929054323,0.8,-0.6656177182307607
NGC0059,-0.8172127741264987,0.36,34896.930287370196,0.0033143470031631677,4.9,-0.0027085267088728195
And XIX,-4.42242939512999,0.98,13414.38000246511,0.09200771366163447,0.93,-0.40689761747591546
And XXVI,-6.407768107676279,0.98,8958.429748437791,0.1377726307928457,0.76,-0.8828150697050556
Sc22,-3.6072127741264994,0.48,34896.930287370196,0.004323899106500599,4.29,-0.015597224091003118
And XXV,-4.972425254480562,0.98,10175.944871797152,0.12128863213831377,0.81,-0.6030986575259542
NGC0147,-4.847768107676279,0.48,8958.429748437791,0.1377726307928457,0.76,-0.6678897656682163
And III,-5.1892727654544615,0.48,8724.232571842549,0.1414710605261292,0.75,-0.734131921488202
Cas III,-3.805206086856901,0.98,9436.129949704902,0.13079794797164312,0.78,-0.4977131477700886
And XXX,-5.5643774668253885,0.98,7171.706917724439,0.17209660801459267,0.68,-0.957610487753481
And XXVII,-5.451239107485714,0.98,10684.664566653038,0.11551382137603089,0.83,-0.6296934605401387
NGC0185,-3.7203074211541236,0.48,6756.045703634873,0.18268473724965026,0.66,-0.679643383721465
And I,-5.342749571996949,0.36,8265.144066728702,0.1493290890334916,0.73,-0.7978279265203815
And XI,-5.072749571996949,0.36,8265.144066728702,0.1493290890334916,0.73,-0.7575090724813388
And XII,-5.911239107485714,0.98,10684.664566653038,0.11551382137603089,0.83,-0.682829818373113
Scl-MM-Dw1,-4.037212774126499,0.98,34896.930287370196,0.005126225330847721,3.94,-0.02069566238874926
Bol520,-5.580714193330698,0.48,6155.818502692104,0.20049753475925342,0.63,-1.1189194379587803
And XIV,-5.012749571996949,0.48,8265.144066728702,0.1493290890334916,0.73,-0.7485493271393293
And XIII,-5.910836720114098,0.98,10943.677338119296,0.11277986330208004,0.84,-0.666623357295383
And IX,-5.574141109656978,0.36,9679.632974376776,0.12750756536764565,0.79,-0.7107451619080679
PAndAS-48,-6.6817675874704285,0.98,10428.753744545655,0.11834841098445521,0.82,-0.7907765765445621
And XVI,-5.5173886049682626,0.48,4193.835533202181,0.294295382936197,0.52,-1.6237419923069445
Sculptor,-8.550910273359213,0.48,125.62894903453277,9.824379203203415,0.09,-84.00738505804868
PAndAS-50,-6.1152060868569,0.98,9436.129949704902,0.13079794797164312,0.78,-0.7998564075845842
And X,-5.030714193330698,0.48,6155.818502692104,0.20049753475925342,0.63,-1.008645793841191
PAndAS-C02,-6.5252060868569,0.98,9436.129949704902,0.13079794797164312,0.78,-0.8534835662529578
And V,-5.192425254480562,0.48,10175.944871797152,0.12128863213831377,0.81,-0.6297821565963831
And XV,-5.377768107676278,0.98,8958.429748437791,0.1377726307928457,0.76,-0.7409092599884244
And II,-5.413568578952151,0.36,6552.868020628406,0.18834904507916608,0.65,-1.0196404723162158
And XXIV,-5.893092791470574,0.98,5583.508845979233,0.22104853207207686,0.6,-1.3026595109191081
PAndAS-55,-6.5352060868569,0.98,9436.129949704902,0.13079794797164312,0.78,-0.8547915457326742
PAndAS-56,-5.6152060868569,0.98,9436.129949704902,0.13079794797164312,0.78,-0.7344574335987626
And XXII,-5.364141109656978,0.48,9679.632974376776,0.12750756536764565,0.79,-0.6839685731808623
