Name,log_lambda,dlog_lambda,delta_tau,omega,D,flux
And XVIII,-8.785882696590313,1.13,26616.276473847127,0.046371115637752855,1.31,0.0
PAndAS-03,-11.326236082520882,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-04,-9.146236082520883,0.78,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-05,-10.946236082520882,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
And XX,-9.414245313917956,0.78,9926.237948407523,0.12433979929054323,0.8,0.0
NGC0059,-4.73824276979048,0.78,34896.930287370196,0.0033143470031631677,4.9,0.0
And XIX,-8.723459390793971,1.13,13414.38000246511,0.09200771366163447,0.93,0.0
And XXVI,-10.698798103340259,1.13,8958.429748437791,0.1377726307928457,0.76,0.0
Sc22,-7.88824276979048,0.78,34896.930287370196,0.004323899106500599,4.29,0.0
And XXV,-9.263455250144542,1.13,10175.944871797152,0.12128863213831377,0.81,0.0
NGC0147,-9.67879810334026,0.78,8958.429748437791,0.1377726307928457,0.76,0.0
And III,-9.570302761118443,0.78,8724.232571842549,0.1414710605261292,0.75,0.0
Cas III,-8.106236082520882,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
And XXX,-9.865407462489369,1.13,7171.706917724439,0.17209660801459267,0.68,0.0
And XXVII,-9.752269103149695,1.13,10684.664566653038,0.11551382137603089,0.83,0.0
NGC0185,-8.201337416818106,0.78,6756.045703634873,0.18268473724965026,0.66,0.0
And I,-9.923779567660931,0.78,8265.144066728702,0.1493290890334916,0.73,0.0
And XI,-9.13377956766093,0.78,8265.144066728702,0.1493290890334916,0.73,0.0
And XII,-10.212269103149694,1.13,10684.664566653038,0.11551382137603089,0.83,0.0
Scl-MM-Dw1,-8.33824276979048,1.13,34896.930287370196,0.005126225330847721,3.94,0.0
Bol520,-9.76174418899468,0.78,6155.818502692104,0.20049753475925342,0.63,0.0
And XIV,-9.20377956766093,0.78,8265.144066728702,0.1493290890334916,0.73,0.0
And XIII,-10.21186671577808,1.13,10943.677338119296,0.11277986330208004,0.84,0.0
And IX,-10.18517110532096,0.78,9679.632974376776,0.12750756536764565,0.79,0.0
PAndAS-48,-10.97279758313441,1.13,10428.753744545655,0.11834841098445521,0.82,0.0
And XVI,-9.638418600632244,0.78,4193.835533202181,0.294295382936197,0.52,0.0
Sculptor,-13.521940269023194,0.78,125.62894903453277,9.824379203203415,0.09,0.0
PAndAS-50,-10.416236082520882,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
And X,-9.02174418899468,0.78,6155.818502692104,0.20049753475925342,0.63,0.0
PAndAS-C02,-10.816236082520883,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
And V,-9.593455250144544,0.78,10175.944871797152,0.12128863213831377,0.81,0.0
And XV,-9.67879810334026,1.13,8958.429748437791,0.1377726307928457,0.76,0.0
And II,-10.114598574616132,0.78,6552.868020628406,0.18834904507916608,0.65,0.0
And XXIV,-10.184122787134555,1.13,5583.508845979233,0.22104853207207686,0.6,0.0
PAndAS-55,-10.826236082520882,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-56,-9.906236082520882,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
And XXII,-9.43517110532096,0.78,9679.632974376776,0.12750756536764565,0.79,0.0
PAndAS-57,-10.666236082520882,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-58,-10.536236082520881,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
And XXIII,-9.433779567660931,0.78,8265.144066728702,0.1493290890334916,0.73,0.0
Segue 2,-14.286182778462518,0.78,13.958772114948081,88.41941282883074,0.03,0.0
Eridanus 3,-14.081940269023193,1.13,125.62894903453277,9.824379203203415,0.09,0.0
[KK2000] 03,-7.508242769790479,1.13,34896.930287370196,0.019894367886486918,2.0,0.0
Fornax,-12.168169216545365,0.78,303.9910371699805,4.06007507887488,0.14,0.0
Horologium 1,-13.634245313917955,1.13,99.26237948407527,12.433979929054322,0.08,0.0
Horologium 2,-13.934245313917955,1.13,99.26237948407527,12.433979929054322,0.08,0.0
Reticulum 2,-14.766182778462518,1.13,13.958772114948081,88.41941282883074,0.03,0.0
Eridanus 2,-11.077820286367267,1.13,2010.0631845525243,0.6140237002002135,0.36,0.0
Pictoris 1,-13.39763991758539,1.13,187.66793621207975,6.57665054098741,0.11,0.0
Carina,-12.890425287901842,0.78,155.09746794386757,7.957747154594767,0.1,0.0
DDO044,-7.948242769790481,0.78,34896.930287370196,0.007722893949587803,3.21,0.0
KK70,-7.07824276979048,0.78,34896.930287370196,0.0009220589930947394,9.29,0.0
KK72,-6.97824276979048,0.78,34896.930287370196,0.0008285867507907919,9.8,0.0
NGC2784 dw01,-6.678242769790479,1.13,34896.930287370196,0.0008285867507907919,9.8,0.0
UGC05086,-7.348242769790479,0.78,34896.930287370196,0.001004639206488419,8.9,0.0
[CKT2009]d0934+70,-7.188242769790479,0.78,34896.930287370196,0.008725217265245786,3.02,0.0
[CKT2009]d0944+69,-9.23824276979048,1.13,34896.930287370196,0.005396692677540939,3.84,0.0
