Name,log_lambda,dlog_lambda,delta_tau,omega,D,flux
And XVIII,-5.795882696590314,0.98,26616.276473847127,0.046371115637752855,1.31,0.0
PAndAS-03,-8.326236082520882,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-04,-6.376236082520881,0.48,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-05,-7.956236082520881,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And XX,-6.654245313917955,0.48,9926.237948407523,0.12433979929054323,0.8,0.0
NGC0059,-2.1182427697904798,0.36,34896.930287370196,0.0033143470031631677,4.9,0.0
And XIX,-5.7234593907939715,0.98,13414.38000246511,0.09200771366163447,0.93,0.0
And XXVI,-7.70879810334026,0.98,8958.429748437791,0.1377726307928457,0.76,0.0
Sc22,-4.908242769790481,0.48,34896.930287370196,0.004323899106500599,4.29,0.0
And XXV,-6.2734552501445435,0.98,10175.944871797152,0.12128863213831377,0.81,0.0
NGC0147,-6.148798103340259,0.48,8958.429748437791,0.1377726307928457,0.76,0.0
And III,-6.490302761118443,0.48,8724.232571842549,0.1414710605261292,0.75,0.0
Cas III,-5.106236082520882,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And XXX,-6.86540746248937,0.98,7171.706917724439,0.17209660801459267,0.68,0.0
And XXVII,-6.752269103149695,0.98,10684.664566653038,0.11551382137603089,0.83,0.0
NGC0185,-5.021337416818104,0.48,6756.045703634873,0.18268473724965026,0.66,0.0
And I,-6.64377956766093,0.36,8265.144066728702,0.1493290890334916,0.73,0.0
And XI,-6.373779567660931,0.36,8265.144066728702,0.1493290890334916,0.73,0.0
And XII,-7.212269103149695,0.98,10684.664566653038,0.11551382137603089,0.83,0.0
Scl-MM-Dw1,-5.33824276979048,0.98,34896.930287370196,0.005126225330847721,3.94,0.0
Bol520,-6.881744188994679,0.48,6155.818502692104,0.20049753475925342,0.63,0.0
And XIV,-6.31377956766093,0.48,8265.144066728702,0.1493290890334916,0.73,0.0
And XIII,-7.211866715778079,0.98,10943.677338119296,0.11277986330208004,0.84,0.0
And IX,-6.875171105320959,0.36,9679.632974376776,0.12750756536764565,0.79,0.0
PAndAS-48,-7.982797583134409,0.98,10428.753744545655,0.11834841098445521,0.82,0.0
And XVI,-6.818418600632244,0.48,4193.835533202181,0.294295382936197,0.52,0.0
Sculptor,-9.851940269023192,0.48,125.62894903453277,9.824379203203415,0.09,0.0
PAndAS-50,-7.416236082520881,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And X,-6.331744188994679,0.48,6155.818502692104,0.20049753475925342,0.63,0.0
PAndAS-C02,-7.826236082520881,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And V,-6.493455250144543,0.48,10175.944871797152,0.12128863213831377,0.81,0.0
And XV,-6.6787981033402595,0.98,8958.429748437791,0.1377726307928457,0.76,0.0
And II,-6.714598574616131,0.36,6552.868020628406,0.18834904507916608,0.65,0.0
And XXIV,-7.194122787134555,0.98,5583.508845979233,0.22104853207207686,0.6,0.0
