Name,log_lambda,dlog_lambda,delta_tau,omega,D,flux
And XVIII,-6.494852700926332,0.98,26616.276473847127,0.046371115637752855,1.31,0.0
PAndAS-03,-9.025206086856901,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-04,-7.0752060868569,0.48,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-05,-8.6552060868569,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And XX,-7.353215318253974,0.48,9926.237948407523,0.12433979929054323,0.8,0.0
NGC0059,-2.8172127741264985,0.36,34896.930287370196,0.0033143470031631677,4.9,0.0
And XIX,-6.42242939512999,0.98,13414.38000246511,0.09200771366163447,0.93,0.0
And XXVI,-8.40776810767628,0.98,8958.429748437791,0.1377726307928457,0.76,0.0
Sc22,-5.607212774126499,0.48,34896.930287370196,0.004323899106500599,4.29,0.0
And XXV,-6.972425254480562,0.98,10175.944871797152,0.12128863213831377,0.81,0.0
NGC0147,-6.847768107676279,0.48,8958.429748437791,0.1377726307928457,0.76,0.0
And III,-7.1892727654544615,0.48,8724.232571842549,0.1414710605261292,0.75,0.0
Cas III,-5.8052060868569,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And XXX,-7.5643774668253885,0.98,7171.706917724439,0.17209660801459267,0.68,0.0
And XXVII,-7.451239107485714,0.98,10684.664566653038,0.11551382137603089,0.83,0.0
NGC0185,-5.720307421154123,0.48,6756.045703634873,0.18268473724965026,0.66,0.0
And I,-7.342749571996949,0.36,8265.144066728702,0.1493290890334916,0.73,0.0
And XI,-7.072749571996949,0.36,8265.144066728702,0.1493290890334916,0.73,0.0
And XII,-7.911239107485714,0.98,10684.664566653038,0.11551382137603089,0.83,0.0
Scl-MM-Dw1,-6.037212774126499,0.98,34896.930287370196,0.005126225330847721,3.94,0.0
Bol520,-7.580714193330698,0.48,6155.818502692104,0.20049753475925342,0.63,0.0
And XIV,-7.012749571996949,0.48,8265.144066728702,0.1493290890334916,0.73,0.0
And XIII,-7.910836720114098,0.98,10943.677338119296,0.11277986330208004,0.84,0.0
And IX,-7.574141109656978,0.36,9679.632974376776,0.12750756536764565,0.79,0.0
PAndAS-48,-8.681767587470429,0.98,10428.753744545655,0.11834841098445521,0.82,0.0
And XVI,-7.5173886049682626,0.48,4193.835533202181,0.294295382936197,0.52,0.0
Sculptor,-10.55091027335921,0.48,125.62894903453277,9.824379203203415,0.09,0.0
PAndAS-50,-8.115206086856901,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And X,-7.030714193330698,0.48,6155.818502692104,0.20049753475925342,0.63,0.0
PAndAS-C02,-8.525206086856901,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And V,-7.192425254480562,0.48,10175.944871797152,0.12128863213831377,0.81,0.0
And XV,-7.377768107676278,0.98,8958.429748437791,0.1377726307928457,0.76,0.0
And II,-7.41356857895215,0.36,6552.868020628406,0.18834904507916608,0.65,0.0
And XXIV,-7.893092791470574,0.98,5583.508845979233,0.22104853207207686,0.6,0.0
PAndAS-55,-8.5352060868569,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-56,-7.615206086856901,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And XXII,-7.364141109656978,0.48,9679.632974376776,0.12750756536764565,0.79,0.0
PAndAS-57,-8.3752060868569,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-58,-8.2352060868569,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And XXIII,-7.072749571996949,0.48,8265.144066728702,0.1493290890334916,0.73,0.0
Segue 2,-12.075152782798536,0.48,13.958772114948081,88.41941282883074,0.03,0.0
Eridanus 3,-11.780910273359211,0.98,125.62894903453277,9.824379203203415,0.09,0.0
[KK2000] 03,-5.207212774126499,0.98,34896.930287370196,0.019894367886486918,2.0,0.0
Fornax,-9.257139220881385,0.48,303.9910371699805,4.06007507887488,0.14,0.0
Horologium 1,-11.343215318253975,0.98,99.26237948407527,12.433979929054322,0.08,0.0
Horologium 2,-11.633215318253974,0.98,99.26237948407527,12.433979929054322,0.08,0.0
Reticulum 2,-12.465152782798535,0.98,13.958772114948081,88.41941282883074,0.03,0.0
Eridanus 2,-8.776790290703287,0.98,2010.0631845525243,0.6140237002002135,0.36,0.0
Pictoris 1,-11.106609921921411,0.98,187.66793621207975,6.57665054098741,0.11,0.0
Carina,-10.119395292237861,0.48,155.09746794386757,7.957747154594767,0.1,0.0
DDO044,-5.567212774126499,0.36,34896.930287370196,0.007722893949587803,3.21,0.0
KK70,-4.817212774126499,0.48,34896.930287370196,0.0009220589930947394,9.29,0.0
KK72,-4.747212774126499,0.48,34896.930287370196,0.0008285867507907919,9.8,0.0
NGC2784 dw01,-4.377212774126499,0.98,34896.930287370196,0.0008285867507907919,9.8,0.0
UGC05086,-4.8972127741264995,0.48,34896.930287370196,0.001004639206488419,8.9,0.0
