Name,log_lambda,dlog_lambda,delta_tau,omega,D,flux
And XVIII,-6.183822705262352,1.13,26616.276473847127,0.046371115637752855,1.31,0.0
PAndAS-03,-8.72417609119292,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-04,-6.54417609119292,0.78,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-05,-8.344176091192919,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
And XX,-6.812185322589993,0.78,9926.237948407523,0.12433979929054323,0.8,0.0
NGC0059,-2.136182778462518,0.78,34896.930287370196,0.0033143470031631677,4.9,0.0
And XIX,-6.121399399466009,1.13,13414.38000246511,0.09200771366163447,0.93,0.0
And XXVI,-8.096738112012297,1.13,8958.429748437791,0.1377726307928457,0.76,0.0
Sc22,-5.286182778462518,0.78,34896.930287370196,0.004323899106500599,4.29,0.0
And XXV,-6.66139525881658,1.13,10175.944871797152,0.12128863213831377,0.81,0.0
NGC0147,-7.076738112012297,0.78,8958.429748437791,0.1377726307928457,0.76,0.0
And III,-6.96824276979048,0.78,8724.232571842549,0.1414710605261292,0.75,0.0
Cas III,-5.504176091192919,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
And XXX,-7.263347471161407,1.13,7171.706917724439,0.17209660801459267,0.68,0.0
And XXVII,-7.150209111821733,1.13,10684.664566653038,0.11551382137603089,0.83,0.0
NGC0185,-5.599277425490143,0.78,6756.045703634873,0.18268473724965026,0.66,0.0
And I,-7.321719576332969,0.78,8265.144066728702,0.1493290890334916,0.73,0.0
And XI,-6.531719576332968,0.78,8265.144066728702,0.1493290890334916,0.73,0.0
And XII,-7.6102091118217325,1.13,10684.664566653038,0.11551382137603089,0.83,0.0
Scl-MM-Dw1,-5.736182778462518,1.13,34896.930287370196,0.005126225330847721,3.94,0.0
Bol520,-7.159684197666716,0.78,6155.818502692104,0.20049753475925342,0.63,0.0
And XIV,-6.601719576332968,0.78,8265.144066728702,0.1493290890334916,0.73,0.0
And XIII,-7.609806724450117,1.13,10943.677338119296,0.11277986330208004,0.84,0.0
And IX,-7.583111113992997,0.78,9679.632974376776,0.12750756536764565,0.79,0.0
PAndAS-48,-8.370737591806447,1.13,10428.753744545655,0.11834841098445521,0.82,0.0
And XVI,-7.036358609304282,0.78,4193.835533202181,0.294295382936197,0.52,0.0
Sculptor,-10.919880277695231,0.78,125.62894903453277,9.824379203203415,0.09,0.0
PAndAS-50,-7.81417609119292,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
And X,-6.419684197666716,0.78,6155.818502692104,0.20049753475925342,0.63,0.0
PAndAS-C02,-8.21417609119292,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
And V,-6.99139525881658,0.78,10175.944871797152,0.12128863213831377,0.81,0.0
And XV,-7.076738112012297,1.13,8958.429748437791,0.1377726307928457,0.76,0.0
And II,-7.512538583288169,0.78,6552.868020628406,0.18834904507916608,0.65,0.0
And XXIV,-7.582062795806593,1.13,5583.508845979233,0.22104853207207686,0.6,0.0
PAndAS-55,-8.22417609119292,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-56,-7.30417609119292,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
And XXII,-6.833111113992997,0.78,9679.632974376776,0.12750756536764565,0.79,0.0
PAndAS-57,-8.06417609119292,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-58,-7.934176091192919,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
And XXIII,-6.831719576332969,0.78,8265.144066728702,0.1493290890334916,0.73,0.0
Segue 2,-11.684122787134555,0.78,13.958772114948081,88.41941282883074,0.03,0.0
Eridanus 3,-11.47988027769523,1.13,125.62894903453277,9.824379203203415,0.09,0.0
[KK2000] 03,-4.906182778462518,1.13,34896.930287370196,0.019894367886486918,2.0,0.0
Fornax,-9.566109225217403,0.78,303.9910371699805,4.06007507887488,0.14,0.0
Horologium 1,-11.032185322589992,1.13,99.26237948407527,12.433979929054322,0.08,0.0
Horologium 2,-11.332185322589993,1.13,99.26237948407527,12.433979929054322,0.08,0.0
Reticulum 2,-12.164122787134556,1.13,13.958772114948081,88.41941282883074,0.03,0.0
Eridanus 2,-8.475760295039306,1.13,2010.0631845525243,0.6140237002002135,0.36,0.0
Pictoris 1,-10.795579926257428,1.13,187.66793621207975,6.57665054098741,0.11,0.0
Carina,-10.28836529657388,0.78,155.09746794386757,7.957747154594767,0.1,0.0
DDO044,-5.346182778462518,0.78,34896.930287370196,0.007722893949587803,3.21,0.0
KK70,-4.476182778462518,0.78,34896.930287370196,0.0009220589930947394,9.29,0.0
KK72,-4.376182778462518,0.78,34896.930287370196,0.0008285867507907919,9.8,0.0
NGC2784 dw01,-4.076182778462518,1.13,34896.930287370196,0.0008285867507907919,9.8,0.0
UGC05086,-4.746182778462518,0.78,34896.930287370196,0.001004639206488419,8.9,0.0
[CKT2009]d0934+70,-4.5861827784625175,0.78,34896.930287370196,0.008725217265245786,3.02,0.0
[CKT2009]d0944+69,-6.636182778462518,1.13,34896.930287370196,0.005396692677540939,3.84,0.0
F8D1,-4.556182778462518,0.78,34896.930287370196,0.005658842421045168,3.75,0.0
FM1,-5.106182778462518,0.78,34896.930287370196,0.005569375965534817,3.78,0.0
KK77,-5.106182778462518,0.78,34896.930287370196,0.005510905231713828,3.8,0.0
[CKT2009]d0955+70,-6.026182778462518,1.13,34896.930287370196,0.00668577790766206,3.45,0.0
KKSG16,-4.646182778462518,1.13,34896.930287370196,0.0008457590769045348,9.7,0.0
KKH57,-5.176182778462517,0.78,34896.930287370196,0.005876171989156107,3.68,0.0
BK5N,-5.286182778462518,0.78,34896.930287370196,0.005812817497877843,3.7,0.0
KDG063,-4.2961827784625175,0.78,34896.930287370196,0.005973163561339665,3.65,0.0
KDG065,-4.7561827784625175,0.78,34896.930287370196,0.0008457590769045348,9.7,0.0
[CKT2009]d1006+67,-6.206182778462518,1.13,34896.930287370196,0.006106266184724463,3.61,0.0
KDG064,-4.596182778462518,0.78,34896.930287370196,0.005658842421045168,3.75,0.0
Segue 1,-13.056305305245917,1.13,6.203898717754704,198.94367886486916,0.02,0.0
IKN,-5.066182778462518,0.78,34896.930287370196,0.005658842421045168,3.75,0.0
SexDSph,-10.56988027769523,0.78,125.62894903453277,9.824379203203415,0.09,0.0
DDO078,-5.226182778462518,0.78,34896.930287370196,0.006571002736982071,3.48,0.0
BK6N,-5.276182778462518,0.78,34896.930287370196,0.007263302776165577,3.31,0.0
UMa I,-10.00836529657388,1.13,155.09746794386757,7.957747154594767,0.1,0.0
LeG14,-4.946182778462518,1.13,34896.930287370196,0.0007357384573404925,10.4,0.0
KK93,-4.656182778462518,1.13,34896.930287370196,0.0007357384573404925,10.4,0.0
KK96,-4.636182778462518,0.78,34896.930287370196,0.0007357384573404925,10.4,0.0
LSBC D640-08,-4.866182778462518,0.78,34896.930287370196,0.0007357384573404925,10.4,0.0
LeoII,-9.192485279229805,0.78,969.3591746491721,1.2732395447351628,0.25,0.0
LeoV,-9.917820286367268,1.13,502.5157961381308,2.456094800800854,0.18,0.0
LeoIV,-10.170125331262032,0.78,397.049517936301,3.1084949822635806,0.16,0.0
Crater,-9.367467453817332,1.13,448.23168235777746,2.7535457282334828,0.17,0.0
Crater 2,-8.89000280447863,1.13,223.3403538391693,5.5262133018019215,0.12,0.0
BTS116,-4.696182778462518,1.13,34896.930287370196,0.005074576034712508,3.96,0.0
KK134,-4.576182778462518,0.78,34896.930287370196,0.0013562276575944288,7.66,0.0
d1219+4705,-5.176182778462517,1.13,34896.930287370196,0.0013562276575944288,7.66,0.0
[KKH2011]S11,-4.636182778462518,0.78,34896.930287370196,0.0013562276575944288,7.66,0.0
KK136,-4.746182778462518,1.13,34896.930287370196,0.0013562276575944288,7.66,0.0
d1220+4649,-5.106182778462518,0.78,34896.930287370196,0.0013562276575944288,7.66,0.0
BTS132,-5.106182778462518,0.78,34896.930287370196,0.0013562276575944288,7.66,0.0
ComaI,-11.444245313917955,1.13,24.815594871018813,49.73591971621729,0.04,0.0
KKSG31,-4.616182778462518,1.13,34896.930287370196,0.0008725360768174958,9.55,0.0
N4594-DGSAT-3,-5.106182778462518,1.13,34896.930287370196,0.0008725360768174958,9.55,0.0
Sombrero DwA,-5.516182778462518,1.13,34896.930287370196,0.0008725360768174958,9.55,0.0
KKSG32,-4.946182778462518,0.78,34896.930287370196,0.0008725360768174958,9.55,0.0
KKSG33,-4.906182778462518,1.13,34896.930287370196,0.0008725360768174958,9.55,0.0
Sombrero DwB,-5.2961827784625175,1.13,34896.930287370196,0.0008725360768174958,9.55,0.0
KKSG34,-4.696182778462518,1.13,34896.930287370196,0.0008725360768174958,9.55,0.0
NGC4627,-4.396182778462518,0.78,34896.930287370196,0.0014932908903349162,7.3,0.0
KK166,-5.036182778462518,0.78,34896.930287370196,0.004129154142306634,4.39,0.0
ESO219-010,-3.2661827784625177,0.78,34896.930287370196,0.004323899106500599,4.29,0.0
KDG216,-4.716182778462517,1.13,34896.930287370196,0.002210485320720769,6.0,0.0
CVnII,-9.65012533126203,0.78,397.049517936301,3.1084949822635806,0.16,0.0
[KK2000] 53,-5.036182778462518,1.13,34896.930287370196,0.009333068064593225,2.92,0.0
KK189,-5.016182778462518,1.13,34896.930287370196,0.004447432867000187,4.23,0.0
KK197,-4.376182778462518,1.13,34896.930287370196,0.005396692677540939,3.84,0.0
[KK2000] 55,-4.686182778462518,1.13,34896.930287370196,0.005368694319173395,3.85,0.0
KK198,-4.476182778462518,0.78,34896.930287370196,0.0033143470031631677,4.9,0.0
AM1320-230,-4.526182778462518,0.78,34896.930287370196,0.0033143470031631677,4.9,0.0
CVnI,-8.083519934929468,1.13,750.6717448483192,1.6441626352468526,0.22,0.0
NGC5206,-3.526182778462518,1.13,34896.930287370196,0.007722893949587803,3.21,0.0
KK208,-5.446182778462518,0.78,34896.930287370196,0.0031704045619717724,5.01,0.0
[KK2000] 57,-5.216182778462517,1.13,34896.930287370196,0.005396692677540939,3.84,0.0
KK213,-4.976182778462518,1.13,34896.930287370196,0.005598960911984722,3.77,0.0
[KK2000] 58,-5.286182778462518,1.13,34896.930287370196,0.006140237002002134,3.6,0.0
KK217,-5.276182778462518,1.13,34896.930287370196,0.00649612012619981,3.5,0.0
KK218,-5.096182778462518,1.13,34896.930287370196,0.003260890669653152,4.94,0.0
CenN,-5.176182778462517,1.13,34896.930287370196,0.005940567913788682,3.66,0.0
BootesIII,-10.190425287901842,1.13,38.774366985966886,31.830988618379067,0.05,0.0
UMin,-9.512062795806592,1.13,55.8350884597923,22.104853207207686,0.06,0.0
Hercules,-9.136182778462517,1.13,348.9693028737021,3.53677651315323,0.15,0.0
Draco,-8.602185322589992,1.13,99.26237948407527,12.433979929054322,0.08,0.0
Sag dSph,-8.216305305245918,1.13,6.203898717754704,198.94367886486916,0.02,0.0
Kim2,-10.76836529657388,1.13,155.09746794386757,7.957747154594767,0.1,0.0
Segue 3,-13.106305305245916,1.13,6.203898717754704,198.94367886486916,0.02,0.0
KK258,-4.8361827784625175,0.78,34896.930287370196,0.015859668276855,2.24,0.0
Tucana 2,-11.112062795806594,1.13,55.8350884597923,22.104853207207686,0.06,0.0
Grus 1,-10.690002804478631,1.13,223.3403538391693,5.5262133018019215,0.12,0.0
Lac I,-5.746738112012297,1.13,8958.429748437791,0.1377726307928457,0.76,0.0
PiscesII,-9.497820286367268,0.78,502.5157961381308,2.456094800800854,0.18,0.0
ApplesI,-6.266182778462518,1.13,34896.930287370196,0.0011495913395945195,8.32,0.0
Cas dSph,-6.790737591806447,0.78,10428.753744545655,0.11834841098445521,0.82,0.0
Phoenix 2,-11.282185322589992,1.13,99.26237948407527,12.433979929054322,0.08,0.0
Peg dSph,-7.050737591806447,0.78,10428.753744545655,0.11834841098445521,0.82,0.0
And XXI,-6.6493683940867445,1.13,11471.008729128447,0.10759528332334732,0.86,0.0
PAndAS-01,-7.344176091192919,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-02,-7.64417609119292,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
And XVII,-6.339901857111928,0.78,8493.137344606188,0.14532043744694606,0.74,0.0
NGC0205,-3.902185322589993,0.78,9926.237948407523,0.12433979929054323,0.8,0.0
MESSIER032,-6.593111113992997,0.78,9679.632974376776,0.12750756536764565,0.79,0.0
Scl-MM-Dw2,-5.136182778462518,1.13,34896.930287370196,0.008174871748227695,3.12,0.0
Cetus III,-10.432485279229805,1.13,969.3591746491721,1.2732395447351628,0.25,0.0
UGC01703,-4.986182778462518,0.78,34896.930287370196,0.0042838632191874336,4.31,0.0
Triangulum II,-12.494122787134554,1.13,13.958772114948081,88.41941282883074,0.03,0.0
Perseus I,-6.263111113992997,1.13,9679.632974376776,0.12750756536764565,0.79,0.0
Pictor II,-11.360425287901842,1.13,38.774366985966886,31.830988618379067,0.05,0.0
MADCASH J0742+65dw,-6.656182778462518,1.13,34896.930287370196,0.006924536990275726,3.39,0.0
UMa II,-12.624122787134556,0.78,13.958772114948081,88.41941282883074,0.03,0.0
N2683dw2,-5.366182778462518,1.13,34896.930287370196,0.0008252150889737026,9.82,0.0
KSP-DW3,-4.266182778462518,1.13,34896.930287370196,0.0008252150889737026,9.82,0.0
KSP-DW6,-5.516182778462518,1.13,34896.930287370196,0.0008252150889737026,9.82,0.0
KSP-DW13,-4.636182778462518,1.13,34896.930287370196,0.0008252150889737026,9.82,0.0
KSP-DW14,-4.656182778462518,1.13,34896.930287370196,0.0008252150889737026,9.82,0.0
KSP-DW15,-4.666182778462518,1.13,34896.930287370196,0.0008252150889737026,9.82,0.0
NGC2784,-1.2161827784625177,0.78,34896.930287370196,0.0008252150889737026,9.82,0.0
KSP-DW20,-5.0461827784625175,1.13,34896.930287370196,0.0008252150889737026,9.82,0.0
KSP-DW21,-6.056182778462518,1.13,34896.930287370196,0.0008252150889737026,9.82,0.0
KSP-DW23,-6.186182778462518,1.13,34896.930287370196,0.0008252150889737026,9.82,0.0
d1005+68,-6.596182778462518,1.13,34896.930287370196,0.005023703413168081,3.98,0.0
LeG09,-4.866182778462518,1.13,34896.930287370196,0.0007357384573404925,10.4,0.0
LeG16,-5.066182778462518,1.13,34896.930287370196,0.0007357384573404925,10.4,0.0
NGC3377,-1.9461827784625176,0.78,34896.930287370196,0.0007329168359417669,10.42,0.0
