Name,log_lambda,dlog_lambda,delta_tau,omega,D,flux
And XVIII,-7.494852700926332,0.98,26616.276473847127,0.046371115637752855,1.31,0.0
PAndAS-03,-10.025206086856901,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-04,-8.0752060868569,0.48,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-05,-9.6552060868569,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And XX,-8.353215318253973,0.48,9926.237948407523,0.12433979929054323,0.8,0.0
NGC0059,-3.8172127741264985,0.36,34896.930287370196,0.0033143470031631677,4.9,0.0
And XIX,-7.42242939512999,0.98,13414.38000246511,0.09200771366163447,0.93,0.0
And XXVI,-9.40776810767628,0.98,8958.429748437791,0.1377726307928457,0.76,0.0
Sc22,-6.607212774126499,0.48,34896.930287370196,0.004323899106500599,4.29,0.0
And XXV,-7.972425254480562,0.98,10175.944871797152,0.12128863213831377,0.81,0.0
NGC0147,-7.847768107676279,0.48,8958.429748437791,0.1377726307928457,0.76,0.0
And III,-8.189272765454461,0.48,8724.232571842549,0.1414710605261292,0.75,0.0
Cas III,-6.8052060868569,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And XXX,-8.564377466825388,0.98,7171.706917724439,0.17209660801459267,0.68,0.0
And XXVII,-8.451239107485714,0.98,10684.664566653038,0.11551382137603089,0.83,0.0
NGC0185,-6.720307421154123,0.48,6756.045703634873,0.18268473724965026,0.66,0.0
And I,-8.342749571996949,0.36,8265.144066728702,0.1493290890334916,0.73,0.0
And XI,-8.07274957199695,0.36,8265.144066728702,0.1493290890334916,0.73,0.0
And XII,-8.911239107485713,0.98,10684.664566653038,0.11551382137603089,0.83,0.0
Scl-MM-Dw1,-7.037212774126499,0.98,34896.930287370196,0.005126225330847721,3.94,0.0
Bol520,-8.580714193330698,0.48,6155.818502692104,0.20049753475925342,0.63,0.0
And XIV,-8.012749571996949,0.48,8265.144066728702,0.1493290890334916,0.73,0.0
And XIII,-8.910836720114098,0.98,10943.677338119296,0.11277986330208004,0.84,0.0
And IX,-8.574141109656978,0.36,9679.632974376776,0.12750756536764565,0.79,0.0
PAndAS-48,-9.681767587470429,0.98,10428.753744545655,0.11834841098445521,0.82,0.0
And XVI,-8.517388604968263,0.48,4193.835533202181,0.294295382936197,0.52,0.0
Sculptor,-11.55091027335921,0.48,125.62894903453277,9.824379203203415,0.09,0.0
PAndAS-50,-9.115206086856901,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And X,-8.030714193330699,0.48,6155.818502692104,0.20049753475925342,0.63,0.0
PAndAS-C02,-9.525206086856901,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And V,-8.192425254480561,0.48,10175.944871797152,0.12128863213831377,0.81,0.0
And XV,-8.377768107676278,0.98,8958.429748437791,0.1377726307928457,0.76,0.0
And II,-8.41356857895215,0.36,6552.868020628406,0.18834904507916608,0.65,0.0
And XXIV,-8.893092791470574,0.98,5583.508845979233,0.22104853207207686,0.6,0.0
PAndAS-55,-9.5352060868569,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-56,-8.615206086856901,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And XXII,-8.364141109656979,0.48,9679.632974376776,0.12750756536764565,0.79,0.0
PAndAS-57,-9.3752060868569,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-58,-9.2352060868569,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And XXIII,-8.07274957199695,0.48,8265.144066728702,0.1493290890334916,0.73,0.0
Segue 2,-13.075152782798536,0.48,13.958772114948081,88.41941282883074,0.03,0.0
Eridanus 3,-12.780910273359211,0.98,125.62894903453277,9.824379203203415,0.09,0.0
[KK2000] 03,-6.207212774126499,0.98,34896.930287370196,0.019894367886486918,2.0,0.0
Fornax,-10.257139220881385,0.48,303.9910371699805,4.06007507887488,0.14,0.0
Horologium 1,-12.343215318253975,0.98,99.26237948407527,12.433979929054322,0.08,0.0
Horologium 2,-12.633215318253974,0.98,99.26237948407527,12.433979929054322,0.08,0.0
Reticulum 2,-13.465152782798537,0.98,13.958772114948081,88.41941282883074,0.03,0.0
Eridanus 2,-9.776790290703287,0.98,2010.0631845525243,0.6140237002002135,0.36,0.0
Pictoris 1,-12.106609921921411,0.98,187.66793621207975,6.57665054098741,0.11,0.0
Carina,-11.119395292237861,0.48,155.09746794386757,7.957747154594767,0.1,0.0
DDO044,-6.567212774126499,0.36,34896.930287370196,0.007722893949587803,3.21,0.0
KK70,-5.817212774126499,0.48,34896.930287370196,0.0009220589930947394,9.29,0.0
KK72,-5.747212774126499,0.48,34896.930287370196,0.0008285867507907919,9.8,0.0
NGC2784 dw01,-5.377212774126499,0.98,34896.930287370196,0.0008285867507907919,9.8,0.0
UGC05086,-5.8972127741264995,0.48,34896.930287370196,0.001004639206488419,8.9,0.0
[CKT2009]d0934+70,-6.197212774126499,0.48,34896.930287370196,0.008725217265245786,3.02,0.0
[CKT2009]d0944+69,-7.9372127741264995,0.98,34896.930287370196,0.005396692677540939,3.84,0.0
F8D1,-5.847212774126499,0.48,34896.930287370196,0.005658842421045168,3.75,0.0
FM1,-6.447212774126499,0.48,34896.930287370196,0.005569375965534817,3.78,0.0
KK77,-6.297212774126499,0.48,34896.930287370196,0.005510905231713828,3.8,0.0
[CKT2009]d0955+70,-7.337212774126499,0.98,34896.930287370196,0.00668577790766206,3.45,0.0
KKSG16,-5.947212774126499,0.98,34896.930287370196,0.0008457590769045348,9.7,0.0
KKH57,-6.567212774126499,0.48,34896.930287370196,0.005876171989156107,3.68,0.0
BK5N,-6.767212774126499,0.36,34896.930287370196,0.005812817497877843,3.7,0.0
KDG063,-5.6872127741264995,0.48,34896.930287370196,0.005973163561339665,3.65,0.0
KDG065,-5.907212774126499,0.48,34896.930287370196,0.0008457590769045348,9.7,0.0
[CKT2009]d1006+67,-7.507212774126499,0.98,34896.930287370196,0.006106266184724463,3.61,0.0
KDG064,-6.407212774126499,0.36,34896.930287370196,0.005658842421045168,3.75,0.0
Segue 1,-14.367335300909899,0.98,6.203898717754704,198.94367886486916,0.02,0.0
IKN,-6.327212774126499,0.48,34896.930287370196,0.005658842421045168,3.75,0.0
SexDSph,-11.39091027335921,0.48,125.62894903453277,9.824379203203415,0.09,0.0
DDO078,-6.447212774126499,0.36,34896.930287370196,0.006571002736982071,3.48,0.0
BK6N,-6.567212774126499,0.48,34896.930287370196,0.007263302776165577,3.31,0.0
UMa I,-11.31939529223786,0.98,155.09746794386757,7.957747154594767,0.1,0.0
LeG14,-6.247212774126499,0.98,34896.930287370196,0.0007357384573404925,10.4,0.0
KK93,-5.957212774126499,0.98,34896.930287370196,0.0007357384573404925,10.4,0.0
KK96,-5.977212774126499,0.48,34896.930287370196,0.0007357384573404925,10.4,0.0
LSBC D640-08,-6.017212774126499,0.48,34896.930287370196,0.0007357384573404925,10.4,0.0
LeoII,-10.053515274893787,0.48,969.3591746491721,1.2732395447351628,0.25,0.0
LeoV,-11.21885028203125,0.98,502.5157961381308,2.456094800800854,0.18,0.0
LeoIV,-11.391155326926011,0.48,397.049517936301,3.1084949822635806,0.16,0.0
Crater,-10.668497449481313,0.98,448.23168235777746,2.7535457282334828,0.17,0.0
Crater 2,-10.191032800142612,0.98,223.3403538391693,5.5262133018019215,0.12,0.0
BTS116,-5.997212774126499,0.98,34896.930287370196,0.005074576034712508,3.96,0.0
KK134,-5.867212774126499,0.48,34896.930287370196,0.0013562276575944288,7.66,0.0
d1219+4705,-6.487212774126499,0.98,34896.930287370196,0.0013562276575944288,7.66,0.0
[KKH2011]S11,-6.257212774126499,0.48,34896.930287370196,0.0013562276575944288,7.66,0.0
KK136,-6.047212774126499,0.98,34896.930287370196,0.0013562276575944288,7.66,0.0
d1220+4649,-6.507212774126499,0.48,34896.930287370196,0.0013562276575944288,7.66,0.0
BTS132,-6.407212774126499,0.48,34896.930287370196,0.0013562276575944288,7.66,0.0
ComaI,-12.755275309581936,0.98,24.815594871018813,49.73591971621729,0.04,0.0
KKSG31,-5.917212774126499,0.98,34896.930287370196,0.0008725360768174958,9.55,0.0
N4594-DGSAT-3,-6.407212774126499,0.98,34896.930287370196,0.0008725360768174958,9.55,0.0
Sombrero DwA,-6.817212774126499,0.98,34896.930287370196,0.0008725360768174958,9.55,0.0
KKSG32,-6.237212774126499,0.48,34896.930287370196,0.0008725360768174958,9.55,0.0
KKSG33,-6.207212774126499,0.98,34896.930287370196,0.0008725360768174958,9.55,0.0
Sombrero DwB,-6.607212774126499,0.98,34896.930287370196,0.0008725360768174958,9.55,0.0
KKSG34,-5.997212774126499,0.98,34896.930287370196,0.0008725360768174958,9.55,0.0
NGC4627,-4.747212774126499,0.36,34896.930287370196,0.0014932908903349162,7.3,0.0
KK166,-6.3972127741264995,0.48,34896.930287370196,0.004129154142306634,4.39,0.0
ESO219-010,-4.8572127741264985,0.48,34896.930287370196,0.004323899106500599,4.29,0.0
KDG216,-6.017212774126499,0.98,34896.930287370196,0.002210485320720769,6.0,0.0
CVnII,-11.011155326926012,0.48,397.049517936301,3.1084949822635806,0.16,0.0
[KK2000] 53,-6.337212774126499,0.98,34896.930287370196,0.009333068064593225,2.92,0.0
KK189,-6.317212774126499,0.98,34896.930287370196,0.004447432867000187,4.23,0.0
KK197,-5.6872127741264995,0.98,34896.930287370196,0.005396692677540939,3.84,0.0
[KK2000] 55,-5.987212774126499,0.98,34896.930287370196,0.005368694319173395,3.85,0.0
KK198,-5.927212774126499,0.48,34896.930287370196,0.0033143470031631677,4.9,0.0
AM1320-230,-5.947212774126499,0.48,34896.930287370196,0.0033143470031631677,4.9,0.0
CVnI,-9.384549930593447,0.98,750.6717448483192,1.6441626352468526,0.22,0.0
NGC5206,-4.827212774126499,0.98,34896.930287370196,0.007722893949587803,3.21,0.0
KK208,-6.347212774126499,0.48,34896.930287370196,0.0031704045619717724,5.01,0.0
[KK2000] 57,-6.527212774126499,0.98,34896.930287370196,0.005396692677540939,3.84,0.0
KK213,-6.277212774126499,0.98,34896.930287370196,0.005598960911984722,3.77,0.0
[KK2000] 58,-6.597212774126499,0.98,34896.930287370196,0.006140237002002134,3.6,0.0
KK217,-6.587212774126499,0.98,34896.930287370196,0.00649612012619981,3.5,0.0
KK218,-6.3972127741264995,0.98,34896.930287370196,0.003260890669653152,4.94,0.0
CenN,-6.487212774126499,0.98,34896.930287370196,0.005940567913788682,3.66,0.0
BootesIII,-11.491455283565823,0.98,38.774366985966886,31.830988618379067,0.05,0.0
UMin,-10.823092791470575,0.98,55.8350884597923,22.104853207207686,0.06,0.0
Hercules,-10.437212774126499,0.98,348.9693028737021,3.53677651315323,0.15,0.0
Draco,-9.913215318253975,0.98,99.26237948407527,12.433979929054322,0.08,0.0
Sag dSph,-9.527335300909899,0.98,6.203898717754704,198.94367886486916,0.02,0.0
Kim2,-12.07939529223786,0.98,155.09746794386757,7.957747154594767,0.1,0.0
Segue 3,-14.4173353009099,0.98,6.203898717754704,198.94367886486916,0.02,0.0
KK258,-6.167212774126499,0.36,34896.930287370196,0.015859668276855,2.24,0.0
Tucana 2,-12.423092791470573,0.98,55.8350884597923,22.104853207207686,0.06,0.0
Grus 1,-12.00103280014261,0.98,223.3403538391693,5.5262133018019215,0.12,0.0
Lac I,-7.057768107676278,0.98,8958.429748437791,0.1377726307928457,0.76,0.0
PiscesII,-10.938850282031249,0.36,502.5157961381308,2.456094800800854,0.18,0.0
ApplesI,-7.567212774126499,0.98,34896.930287370196,0.0011495913395945195,8.32,0.0
Cas dSph,-7.751767587470427,0.48,10428.753744545655,0.11834841098445521,0.82,0.0
Phoenix 2,-12.583215318253973,0.98,99.26237948407527,12.433979929054322,0.08,0.0
Peg dSph,-8.051767587470428,0.48,10428.753744545655,0.11834841098445521,0.82,0.0
And XXI,-7.960398389750726,0.98,11471.008729128447,0.10759528332334732,0.86,0.0
PAndAS-01,-8.6552060868569,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-02,-8.945206086856901,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And XVII,-7.9009318527759085,0.36,8493.137344606188,0.14532043744694606,0.74,0.0
NGC0205,-5.253215318253974,0.48,9926.237948407523,0.12433979929054323,0.8,0.0
MESSIER032,-6.584141109656979,0.36,9679.632974376776,0.12750756536764565,0.79,0.0
Scl-MM-Dw2,-6.4372127741264995,0.98,34896.930287370196,0.008174871748227695,3.12,0.0
Cetus III,-11.733515274893787,0.98,969.3591746491721,1.2732395447351628,0.25,0.0
UGC01703,-6.267212774126499,0.48,34896.930287370196,0.0042838632191874336,4.31,0.0
Triangulum II,-13.805152782798537,0.98,13.958772114948081,88.41941282883074,0.03,0.0
Perseus I,-7.564141109656978,0.98,9679.632974376776,0.12750756536764565,0.79,0.0
Pictor II,-12.671455283565823,0.98,38.774366985966886,31.830988618379067,0.05,0.0
MADCASH J0742+65dw,-7.957212774126499,0.98,34896.930287370196,0.006924536990275726,3.39,0.0
UMa II,-13.725152782798535,0.48,13.958772114948081,88.41941282883074,0.03,0.0
N2683dw2,-6.667212774126499,0.98,34896.930287370196,0.0008252150889737026,9.82,0.0
KSP-DW3,-5.567212774126499,0.98,34896.930287370196,0.0008252150889737026,9.82,0.0
KSP-DW6,-6.817212774126499,0.98,34896.930287370196,0.0008252150889737026,9.82,0.0
KSP-DW13,-5.9372127741264995,0.98,34896.930287370196,0.0008252150889737026,9.82,0.0
KSP-DW14,-5.957212774126499,0.98,34896.930287370196,0.0008252150889737026,9.82,0.0
KSP-DW15,-5.967212774126499,0.98,34896.930287370196,0.0008252150889737026,9.82,0.0
NGC2784,-2.657212774126499,0.36,34896.930287370196,0.0008252150889737026,9.82,0.0
KSP-DW20,-6.347212774126499,0.98,34896.930287370196,0.0008252150889737026,9.82,0.0
KSP-DW21,-7.367212774126499,0.98,34896.930287370196,0.0008252150889737026,9.82,0.0
KSP-DW23,-7.497212774126499,0.98,34896.930287370196,0.0008252150889737026,9.82,0.0
d1005+68,-7.8972127741264995,0.98,34896.930287370196,0.005023703413168081,3.98,0.0
LeG09,-6.167212774126499,0.98,34896.930287370196,0.0007357384573404925,10.4,0.0
LeG16,-6.367212774126499,0.98,34896.930287370196,0.0007357384573404925,10.4,0.0
NGC3377,-3.507212774126499,0.36,34896.930287370196,0.0007329168359417669,10.42,0.0
Willman1,-13.325275309581937,0.48,24.815594871018813,49.73591971621729,0.04,0.0
LeG26,-5.367212774126499,0.48,34896.930287370196,0.0007357384573404925,10.4,0.0
KKH65,-5.777212774126499,0.98,34896.930287370196,0.0007957747154594767,10.0,0.0
LeG27,-5.657212774126499,0.48,34896.930287370196,0.0007357384573404925,10.4,0.0
