Name,log_lambda,dlog_lambda,delta_tau,omega,D,flux
And XVIII,-0.7958826965903141,0.98,26616.276473847127,0.046371115637752855,1.31,-0.03690596855767602
PAndAS-03,-3.3262360825208814,0.98,9436.129949704902,0.13079794797164312,0.78,-0.4350648540629683
PAndAS-04,-1.3762360825208813,0.48,9436.129949704902,0.13079794797164312,0.78,-0.18000885551826418
PAndAS-05,-2.9562360825208813,0.98,9436.129949704902,0.13079794797164312,0.78,-0.38666961331346034
And XX,-1.6542453139179552,0.48,9926.237948407523,0.12433979929054323,0.8,-0.2056885303098802
NGC0059,2.88175723020952,0.36,34896.930287370196,0.0033143470031631677,4.9,0.009551143439788712
And XIX,-0.7234593907939715,0.98,13414.38000246511,0.09200771366163447,0.93,-0.06656384447399225
And XXVI,-2.7087981033402597,0.98,8958.429748437791,0.1377726307928457,0.76,-0.37319824098385834
Sc22,0.09175723020951931,0.48,34896.930287370196,0.004323899106500599,4.29,0.00039674900571791036
And XXV,-1.2734552501445435,0.98,10175.944871797152,0.12128863213831377,0.81,-0.1544556453793859
NGC0147,-1.1487981033402592,0.48,8958.429748437791,0.1377726307928457,0.76,-0.15827293694701894
And III,-1.4903027611184427,0.48,8724.232571842549,0.1414710605261292,0.75,-0.2108347121204447
Cas III,-0.10623608252088168,0.98,9436.129949704902,0.13079794797164312,0.78,-0.013895461594277467
And XXX,-1.8654074624893697,0.98,7171.706917724439,0.17209660801459267,0.68,-0.32103029685952905
And XXVII,-1.752269103149695,0.98,10684.664566653038,0.11551382137603089,0.83,-0.20241130018397172
NGC0185,-0.021337416818104415,0.48,6756.045703634873,0.18268473724965026,0.66,-0.0038980203850016736
And I,-1.6437795676609301,0.36,8265.144066728702,0.1493290890334916,0.73,-0.24546410541067337
And XI,-1.3737795676609306,0.36,8265.144066728702,0.1493290890334916,0.73,-0.2051452513716307
And XII,-2.212269103149695,0.98,10684.664566653038,0.11551382137603089,0.83,-0.25554765801694596
Scl-MM-Dw1,-0.3382427697904804,0.98,34896.930287370196,0.005126225330847721,3.94,-0.0017339086544760549
Bol520,-1.8817441889946789,0.48,6155.818502692104,0.20049753475925342,0.63,-0.37728507094098374
And XIV,-1.31377956766093,0.48,8265.144066728702,0.1493290890334916,0.73,-0.19618550602962112
And XIII,-2.211866715778079,0.98,10943.677338119296,0.11277986330208004,0.84,-0.2494540258478725
And IX,-1.875171105320959,0.36,9679.632974376776,0.12750756536764565,0.79,-0.23909850228723253
PAndAS-48,-2.982797583134409,0.98,10428.753744545655,0.11834841098445521,0.82,-0.35300935425223073
And XVI,-1.8184186006322438,0.48,4193.835533202181,0.294295382936197,0.52,-0.5351521984113696
Sculptor,-4.851940269023193,0.48,125.62894903453277,9.824379203203415,0.09,-47.66730107417664
