Name,log_lambda,dlog_lambda,delta_tau,omega,D,flux
UGC05086,-2.8972127741264995,0.48,34896.930287370196,0.001004639206488419,8.9,-0.0029106535424265573
KK134,-2.867212774126499,0.48,34896.930287370196,0.0013562276575944288,7.66,-0.003888593264478406
d1219+4705,-3.4872127741264993,0.98,34896.930287370196,0.0013562276575944288,7.66,-0.004729454412186952
[KKH2011]S11,-3.257212774126499,0.48,34896.930287370196,0.0013562276575944288,7.66,-0.004417522050940233
KK136,-3.047212774126499,0.98,34896.930287370196,0.0013562276575944288,7.66,-0.004132714242845403
d1220+4649,-3.507212774126499,0.48,34896.930287370196,0.0013562276575944288,7.66,-0.00475657896533884
BTS132,-3.4072127741264993,0.48,34896.930287370196,0.0013562276575944288,7.66,-0.004620956199579398
NGC4627,-1.747212774126499,0.36,34896.930287370196,0.0014932908903349162,7.3,-0.0026090969190798985
ApplesI,-4.567212774126499,0.98,34896.930287370196,0.0011495913395945195,8.32,-0.005250428251221284
N4258dwC,-3.6572127741264993,0.98,34896.930287370196,0.0013562276575944288,7.66,-0.004960013113978005
PGC213976,-2.9072127741264993,0.48,34896.930287370196,0.0013923439913837042,7.56,-0.004047840237728981
PGC1853813,-2.5272127741264994,0.48,34896.930287370196,0.0012310566499892902,8.04,-0.003111142091526309
PGC40195,-2.6472127741264995,0.48,34896.930287370196,0.00154362302329179,7.18,-0.004086298585693793
N4258dwB,-3.377212774126499,0.98,34896.930287370196,0.0013562276575944288,7.66,-0.004580269369851565
NGC 4631dw3,-3.967212774126499,0.98,34896.930287370196,0.0014532043744694607,7.4,-0.005765170957811753
BTS151,-3.047212774126499,0.98,34896.930287370196,0.0014932908903349162,7.3,-0.0045503750765152895
[CKT2009]d1009+70,-2.087212774126499,0.48,34896.930287370196,0.0009824379203203417,9.0,-0.002050556977078889
AGC740112,-3.497212774126499,0.48,34896.930287370196,0.0016147894811313964,7.02,-0.005647262400937821
KDG098,-2.627212774126499,0.48,34896.930287370196,0.0009824379203203417,9.0,-0.0025810734540518735
PGC4555586,-2.547212774126499,0.48,34896.930287370196,0.0011777320692209325,8.22,-0.0029999341712179934
KK132,-3.6972127741264993,0.48,34896.930287370196,0.0013562276575944288,7.66,-0.005014262220281782
KDG101,-2.677212774126499,0.36,34896.930287370196,0.0015015070557969233,7.28,-0.004019853870220593
PGC4323538,-2.9072127741264993,0.98,34896.930287370196,0.0014184907254344943,7.49,-0.004123854356963126
HSC-9,-3.707212774126499,0.98,34896.930287370196,0.0014932908903349162,7.3,-0.0055359470641363345
N4625A,-3.467212774126499,0.98,34896.930287370196,0.0012750756536764568,7.9,-0.004420958594404707
HSC-10,-3.9472127741264993,0.98,34896.930287370196,0.0014932908903349162,7.3,-0.005894336877816715
LV J1243+3232,-3.6972127741264993,0.98,34896.930287370196,0.0014932908903349162,7.3,-0.005521014155232986
dw1327+51,-3.8072127741264987,0.98,34896.930287370196,0.0011277986330208004,8.4,-0.004293769362279195
UGCA361,-2.6472127741264995,0.48,34896.930287370196,0.0011277986330208004,8.4,-0.002985522947975067
dw1338+50,-3.7272127741264987,0.98,34896.930287370196,0.0011277986330208004,8.4,-0.004203545471637531
UGC08882,-2.6872127741264995,0.36,34896.930287370196,0.0011495913395945195,8.32,-0.0030891965327835874
NGC5195,0.9227872258735011,0.15,34896.930287370196,0.0013562276575944288,7.66,0.0012515095578044795
NGC6684,1.3027872258735012,0.34,34896.930287370196,0.0010513604379171315,8.7,0.0013696989483072092
NGC2787,-0.21721277412649886,0.15,34896.930287370196,0.0014222860166495264,7.48,-0.0003089386912777714
NGC2903,1.6727872258735013,0.15,34896.930287370196,0.001011446454371584,8.87,0.001691934708527831
NGC3627,1.5727872258735012,0.15,34896.930287370196,0.0011495913395945195,8.32,0.0018080625738890663
NGC4258,1.8227872258735012,0.15,34896.930287370196,0.0013562276575944288,7.66,0.0024721144496394655
NGC0024,0.7227872258735012,0.15,34896.930287370196,0.0014892080736795476,7.31,0.0010763805723232609
NGC4136,0.6427872258735011,0.15,34896.930287370196,0.0012750756536764568,7.9,0.0008196023422055307
NGC5194,1.8027872258735012,0.15,34896.930287370196,0.0011277986330208004,8.4,0.0020331809689674955
NGC7640,1.0227872258735011,0.19,34896.930287370196,0.001119785879470001,8.43,0.001145302693235441
NGC0672,0.9227872258735011,0.15,34896.930287370196,0.00154362302329179,7.18,0.0014244356074578977
NGC4559,1.5427872258735011,0.15,34896.930287370196,0.0010023853895728412,8.91,0.0015464673744352124
NGC4618,0.9627872258735012,0.15,34896.930287370196,0.0012750756536764568,7.9,0.001227626551381997
IC5201,1.0127872258735011,0.15,34896.930287370196,0.0010276016470292827,8.8,0.001040741821397828
NGC7713,0.8127872258735012,0.19,34896.930287370196,0.0013079794797164312,7.8,0.0010631090128181836
NGC3274,0.5027872258735011,0.15,34896.930287370196,0.001249638374538283,7.98,0.0006283022116791745
PGC4310323,-1.3172127741264987,0.19,34896.930287370196,0.0014492847420680675,7.41,-0.0019090163755986864
NGC4204,0.4927872258735011,0.15,34896.930287370196,0.0012433979929054324,8.0,0.0006127306475805473
NGC4242,0.6027872258735012,0.15,34896.930287370196,0.0012750756536764568,7.9,0.0007685993160584726
NGC4288,0.3327872258735012,0.15,34896.930287370196,0.0012280000238562966,8.05,0.00040866272131173025
NGC4455,0.42278722587350104,0.15,34896.930287370196,0.0011277986330208004,8.4,0.00047681885539879086
NGC4490,1.5727872258735012,0.15,34896.930287370196,0.0010023853895728412,8.91,0.0015765389361223976
NGC4517,0.9927872258735011,0.19,34896.930287370196,0.001138616783411948,8.36,0.001130404197736557
NGC4631,1.6727872258735013,0.15,34896.930287370196,0.001473043112516964,7.35,0.0024640877017793198
NGC4700,0.2627872258735011,0.15,34896.930287370196,0.0014932908903349162,7.3,0.0003924177704932832
NGC5229,0.1127872258735012,0.15,34896.930287370196,0.0011277986330208004,8.4,0.00012720127916234292
ESO347-017,-0.08721277412649875,0.15,34896.930287370196,0.001377726307928457,7.6,-0.00012015533330149958
IC5332,1.002787225873501,0.15,34896.930287370196,0.0013079794797164312,7.8,0.0013116251139643053
IC1727,0.6627872258735011,0.22,34896.930287370196,0.0014337637321913007,7.45,0.0009502802866171096
NGC1156,0.9927872258735011,0.22,34896.930287370196,0.0013079794797164312,7.8,0.001298545319167141
UGC03303,0.31278722587350116,0.29,34896.930287370196,0.001560966966118755,7.14,0.0004882505270124609
NGC2188,0.7127872258735012,0.29,34896.930287370196,0.0011304886705460935,8.39,0.0008057978833599724
WHI B0619-07,0.28278722587350114,0.29,34896.930287370196,0.0011277986330208004,8.4,0.0003189270467758789
ESO558-011,0.07278722587350117,0.29,34896.930287370196,0.0011277986330208004,8.4,8.208933384151085e-05
DDO047,-0.047212774126498935,0.22,34896.930287370196,0.0011921915049678373,8.17,-5.628666823957734e-05
MCG +09-16-010,-1.197212774126499,0.22,34896.930287370196,0.001473043112516964,7.35,-0.001763546031144367
NGC3037,0.08278722587350118,0.22,34896.930287370196,0.0012128863213831378,8.1,0.00010041149384722578
PGC28789,-1.2372127741264987,0.29,34896.930287370196,0.0015875361395581505,7.08,-0.0019641199912488116
UGC05427,-0.6672127741264988,0.22,34896.930287370196,0.0013456665479452934,7.69,-0.0008978459105038085
PGC30114,-0.6872127741264988,0.29,34896.930287370196,0.0012280000238562966,8.05,-0.0008438973030216924
NGC3239,1.0827872258735012,0.22,34896.930287370196,0.0012750756536764568,7.9,0.0013806356298231718
DDO084,0.31278722587350116,0.22,34896.930287370196,0.0012098970771185302,8.11,0.0003784403503443626
LV J1203+3257,-2.4472127741264993,0.29,34896.930287370196,0.0013960347624393259,7.55,-0.003416394103766171
KUG 1202+286,-1.117212774126499,0.29,34896.930287370196,0.00154362302329179,7.18,-0.0017245553600573542
MAPS1206+31,-1.6472127741264988,0.29,34896.930287370196,0.001441492902730513,7.43,-0.0023744455231903875
LV J1207+3133,-2.3172127741264985,0.29,34896.930287370196,0.0014892080736795476,7.31,-0.0034508119716625636
UGC7257,0.052787225873501153,0.22,34896.930287370196,0.0010276016470292827,8.8,5.4244240249716556e-05
NGC4248,-0.5572127741264989,0.22,34896.930287370196,0.0014532043744694607,7.4,-0.0008097440408708918
LV J1218+4655,-1.887212774126499,0.22,34896.930287370196,0.0013562276575944288,7.66,-0.0025594901600358654
DDO129,0.12278722587350122,0.22,34896.930287370196,0.001004639206488419,8.9,0.00012335686116846852
NGC4485,0.7727872258735011,0.22,34896.930287370196,0.0010023853895728412,8.91,0.0007746306244641246
UGC07690,0.15278722587350124,0.22,34896.930287370196,0.0010023853895728412,8.91,0.00015315168292896322
DDO148,-0.637212774126499,0.29,34896.930287370196,0.0009824379203203417,9.0,-0.0006260219926143933
MCG-02-33-075,-0.29721277412649894,0.55,34896.930287370196,0.0010513604379171315,8.7,-0.0003124777523602014
DDO161,0.45278722587350106,0.22,34896.930287370196,0.0014932908903349162,7.3,0.0006761430396569172
UGC08647,-1.2072127741264989,0.29,34896.930287370196,0.0010759528332334731,8.6,-0.0012989040046370473
HolmIV,-0.1372127741264988,0.29,34896.930287370196,0.001518144126132209,7.24,-0.00020830876707044968
IC4710,0.6227872258735011,0.22,34896.930287370196,0.0014610914936352493,7.38,0.0009099491180684671
UGC12588,0.21278722587350107,0.29,34896.930287370196,0.001119785879470001,8.43,0.00023827613086474015
DDO217,0.40278722587350124,0.22,34896.930287370196,0.0010885738729311263,8.55,0.0004384636504363016
ESO409-015,-0.2472127741264989,0.22,34896.930287370196,0.0010489476780973829,8.71,-0.0002593132654160038
UGC01104,-0.42721277412649883,0.22,34896.930287370196,0.0013960347624393259,7.55,-0.0005964038836387322
AGC122226,-0.867212774126499,0.29,34896.930287370196,0.0010860319616607845,8.56,-0.0009418207902618926
ESO483-013,-0.32721277412649896,0.22,34896.930287370196,0.0014532043744694607,7.4,-0.00047550703474291586
NGC1800,0.2327872258735011,0.22,34896.930287370196,0.0012433979929054324,8.0,0.0002894471694251348
