Name,log_lambda,dlog_lambda,delta_tau,omega,D,flux
UGC05086,-4.34824276979048,0.78,34896.930287370196,0.001004639206488419,8.9,0.0
KK134,-4.17824276979048,0.78,34896.930287370196,0.0013562276575944288,7.66,0.0
d1219+4705,-4.77824276979048,1.13,34896.930287370196,0.0013562276575944288,7.66,0.0
[KKH2011]S11,-4.238242769790481,0.78,34896.930287370196,0.0013562276575944288,7.66,0.0
KK136,-4.34824276979048,1.13,34896.930287370196,0.0013562276575944288,7.66,0.0
d1220+4649,-4.7082427697904805,0.78,34896.930287370196,0.0013562276575944288,7.66,0.0
BTS132,-4.7082427697904805,0.78,34896.930287370196,0.0013562276575944288,7.66,0.0
NGC4627,-3.99824276979048,0.78,34896.930287370196,0.0014932908903349162,7.3,0.0
ApplesI,-5.868242769790481,1.13,34896.930287370196,0.0011495913395945195,8.32,0.0
N4258dwC,-4.948242769790481,1.13,34896.930287370196,0.0013562276575944288,7.66,0.0
PGC213976,-4.2082427697904805,0.78,34896.930287370196,0.0013923439913837042,7.56,0.0
PGC1853813,-3.60824276979048,0.78,34896.930287370196,0.0012310566499892902,8.04,0.0
PGC40195,-3.86824276979048,0.78,34896.930287370196,0.00154362302329179,7.18,0.0
N4258dwB,-4.67824276979048,1.13,34896.930287370196,0.0013562276575944288,7.66,0.0
NGC 4631dw3,-5.26824276979048,1.13,34896.930287370196,0.0014532043744694607,7.4,0.0
BTS151,-4.34824276979048,1.13,34896.930287370196,0.0014932908903349162,7.3,0.0
[CKT2009]d1009+70,-3.12824276979048,0.78,34896.930287370196,0.0009824379203203417,9.0,0.0
AGC740112,-4.88824276979048,0.78,34896.930287370196,0.0016147894811313964,7.02,0.0
KDG098,-3.96824276979048,0.78,34896.930287370196,0.0009824379203203417,9.0,0.0
PGC4555586,-3.7682427697904797,0.78,34896.930287370196,0.0011777320692209325,8.22,0.0
KK132,-5.06824276979048,0.78,34896.930287370196,0.0013562276575944288,7.66,0.0
KDG101,-3.67824276979048,0.78,34896.930287370196,0.0015015070557969233,7.28,0.0
PGC4323538,-4.2082427697904805,1.13,34896.930287370196,0.0014184907254344943,7.49,0.0
HSC-9,-5.00824276979048,1.13,34896.930287370196,0.0014932908903349162,7.3,0.0
N4625A,-4.75824276979048,1.13,34896.930287370196,0.0012750756536764568,7.9,0.0
HSC-10,-5.2482427697904805,1.13,34896.930287370196,0.0014932908903349162,7.3,0.0
LV J1243+3232,-4.9982427697904805,1.13,34896.930287370196,0.0014932908903349162,7.3,0.0
dw1327+51,-5.10824276979048,1.13,34896.930287370196,0.0011277986330208004,8.4,0.0
