   Name           	     J2000.0     	 T  	   D   	 logM* 	 logMHI 	 logSFRFUV	 logSFRHa	  SB  	  Th1  	  Thj  
 KK149                    	 122852.3+421040 	10	8.51	8.15	7.73	-2.26	-2.53	23.4	0.48	1.36
 DDO217                   	 232958.7+405925 	8	8.55	9.37	8.9	-1.09	-1.18	24.6	0.61	0.56
 UGC03817                 	 072244.5+450630 	10	8.55	8.43	8.17	-2.17	-2.2	25.5	-1.69	      
 KK15                     	 014641.6+264805 	10	8.67	6.98	7.21	-3.02	-3.59	25.4	-1.44	-0.69
 ESO409-015               	 000531.8-280553 	9	8.71	8.1	8.1	-1.72	-1.47	24.1	-1.98	-2.05
 IC5201                   	 222057.4-460203 	6	8.8	10.01	9.23	-0.35	-0.68	24.2	-0.01	-0.93
 UGC7257                  	 121503.0+355731 	8	8.8	8.3	8.32	-1.31	-1.32	23.5	-0.68	-0.39
 ESO300-016               	 031010.5-400011 	10	8.8	7.94	7.86	-2.25	-2.77	24.9	1.23	1.71
 NGC2903                  	 093209.6+213002 	4	8.87	10.82	9.44	0.16	0.28	23	1.68	-0.75
 UGC05423                 	 100530.6+702152 	10	8.87	8.42	7.86	-1.95	-1.85	23	-0.52	-0.44
 KKH87                    	 141509.4+570515 	10	8.87	7.73	7.97	-2.24	-2.54	24.9	-0.81	-1.59
 DDO129                   	 122844.2+431327 	8	8.9	8.81	8.59	-1.22	-1.47	24.5	1.12	1.32
 UGC07950                 	 124656.4+513647 	9	8.9	8.36	8.05	-1.41	-1.91	23.9	-0.37	-2.03
 DDO182                   	 134232.6+393930 	10	8.9	7.89	8.03	-1.72	-2.11	24.9	0.2	1.75
 LV J0913+1937            	 091339.0+193708 	10	8.9	7.27	7.07	-2.75	-2.9	24.5	0.26	1.57
 KDG056                   	 093012.9+195930 	10	8.9	7.42	7.17	-3	-4.42	24.7	1.68	1.57
 NGC2903-HI-1             	 093039.9+214325 	10	8.9	6.92	6.42	-3.54	-2.93	23.9	3.32	1.57
 NGC4559                  	 123557.7+275735 	6	8.91	10.2	9.52	0.19	0.14	23.5	0.67	0.94
 NGC4490                  	 123036.4+413837 	7	8.91	10.28	9.59	0.08	0.28	22	4.1	0.63
 NGC4485                  	 123031.2+414200 	8	8.91	8.99	8.94	-0.62	-0.7	22.6	5.39	1.16
 UGC07690                 	 123226.9+424215 	8	8.91	8.66	8.44	-1.17	-1.4	23.2	1.6	1.17
 ESO104-022               	 185541.2-644839 	10	8.95	8.05	8.53	-2.06	-1.77	24.9	1.08	1.77
 NGC5055                  	 131549.3+420145 	4	9.04	11	9.62	0.11	0.21	23.5	1.1	-0.38
 DDO013                   	 014009.6+155417 	10	9.04	8.53	8.66	-1.48	-1.57	26.1	-0.55	-1.23
 UGC08313                 	 131353.9+421231 	8	9.04	8.46	7.95	-1.66	-1.51	24.7	3.64	1.75
 CGCG 217-018             	 131251.8+403235 	9	9.04	8.19	        	-1.94	-2	23.5	1.84	1.75
 NGC1291                  	 031718.6-410629 	1	9.08	10.97	9.01	-0.98	-0.38	23.8	-1.3	0.1
 UGC07678                 	 123200.4+394955 	9	9.08	8.24	8.1	-1.5	-1.69	23.5	0.75	1.18
 NGC1592                  	 042940.8-272431 	10	9.1	8.17	7.99	-0.98	-1.28	23.6	-1.51	      
 DDO143                   	 124425.1+342311 	10	9.1	7.8	8.43	-1.6	-1.63	26.2	-0.54	0.16
 IC3077                   	 121556.3+142559 	9	9.1	8.16	6.97	-3.31	-2.87	24.8	0.12	1.7
 KK69                     	 085250.7+334752 	10	9.16	7.27	7.66	-3.53	-3.57	26.6	0.39	1.56
 NGC3432                  	 105231.1+363708 	8	9.2	9.64	9.52	0	-0.25	23	3.07	-0.61
 UGC7719                  	 123400.6+390110 	8	9.2	8.21	8.22	-1.69	-1.77	25.4	0.18	1.1
 UGC01561                 	 020405.0+241228 	9	9.2	8.52	7.84	-1.89	-1.89	23.4	-1.29	0.11
 UGC07584                 	 122802.9+223522 	9	9.2	7.74	7.78	-2.1	-2.46	24.5	0.02	1.68
 MRK0475                  	 143905.4+364822 	9	9.2	7.64	6.48	-2.24	-1.5	23.2	-1.25	-1.73
 LV J1052+3628            	 105205.5+362836 	10	9.2	7.04	        	-2.93	-3.48	24.7	3.38	0.43
 KKH40                    	 074656.4+511746 	10	9.25	7.65	7.72	-2.23	-2.41	24.2	-1.28	-1.07
 GR34                     	 122207.6+154757 	10	9.29	7.85	6.97	-2.82	-3.45	24.3	0.29	1.69
 NGC4600                  	 124023.0+030704 	0	9.29	9.33	 <7.27  	-3.34	-1.92	23.3	-0.13	1.29
 LV J0956-0929            	 095637.6-092911 	9	9.38	7.95	6.87	-2.7	-2.81	24.2	0.76	1.72
 IC0559                   	 094443.9+093655 	9	9.4	8.25	8	-1.85	-2.12	24.1	-1.06	-3.29
 NGC6744                  	 190945.9-635128 	4	9.51	10.91	10.31	0.54	0.35	24	1.9	1.15
 NGC7090                  	 213628.6-543326 	6	9.51	10.03	9.26	-0.37	-0.31	24.1	-1.65	-0.23
 IC3583                   	 123643.5+131534 	9	9.51	8.8	8.02	-1.24	-1.63	24	0.67	1.53
