   Name           	     J2000.0     	 T  	   D   	 logM* 	 logMHI 	 logSFRFUV	 logSFRHa	  SB  	  Th1  	  Thj  
 HolmII                   	 081904.0+704251 	9	3.47	9.2	8.63	-1.04	-1.15	24.4	0.71	1.91
 DDO078                   	 102627.9+673924 	-3	3.48	7.48	        	-4.82	-5.07	26.6	1.58	1.89
 NGC6789                  	 191641.8+635822 	9	3.55	7.94	 <6.47  	-2.6	-2.61	23	-1.32	      
 CamA                     	 042515.6+724821 	10	3.56	7.79	8.14	-3.43	-2.91	25.8	0.7	1.42
 UGC04483                 	 083703.0+694631 	10	3.58	7.09	7.61	-2.4	-2.38	24.1	1.01	1.91
 MESSIER082               	 095553.9+694057 	8	3.61	10.59	8.97	-0.94	0.21	22.3	3.08	1.78
 NGC7793                  	 235749.4-323524 	6	3.63	9.7	8.7	-0.42	-0.45	23.8	0.25	1.73
 ESO540-032               	 005024.6-195425 	10	3.63	6.83	6.03	-3.91	-4.98	25.9	1.39	1.74
 NGC2976                  	 094715.6+675449 	7	3.66	9.44	8.05	-1.33	-1.06	23.2	3.05	1.9
 NGC5128                  	 132528.9-430100 	-2	3.68	10.89	8.44	-0.65	-0.06	23.7	0.59	1.5
 DDO053                   	 083406.5+661045 	10	3.68	7.34	7.64	-2.2	-2.13	24.6	0.81	1.91
 NGC0253                  	 004734.3-251732 	5	3.7	10.98	9.09	0.34	0.26	23.1	0.13	0.66
 MESSIER081               	 095533.5+690400 	3	3.7	10.95	9.46	0.04	0	22.9	2.73	1.51
 KDG61em                  	 095707.5+683554 	10	3.7	5.98	        	-3.79	-3.18	23.5	4.48	1.91
 JKB83                    	 095549.6+691957 	10	3.7	5.35	        	-4.24	-3.52	24.4	5.27	1.91
 BK5N                     	 100440.3+681520 	-3	3.7	7.18	        	-5.4	-5.13	25.5	3.36	1.89
 NGC0247                  	 004708.3-204536 	7	3.72	9.5	9.18	-0.25	-0.55	24.9	1.61	1.73
 ESO269-058               	 131032.9-465927 	9	3.75	8.86	7.37	-2.38	-3.5	25	1.43	1.87
 KDG064                   	 100701.9+674939 	-3	3.75	7.99	        	-5.51	-4.44	25.4	2.77	1.89
 ESO324-024               	 132737.4-412850 	8	3.78	8.35	8.18	-1.8	-1.82	23.8	2.44	1.88
 GARLAND                  	 100342.0+684136 	10	3.82	6.81	 <7.54  	-2.64	-2.17	28.2	2.95	1.89
 [CKT2009]d0958+66        	 095848.5+665059 	9	3.82	7.12	5.87	-3.38	-4.27	24.1	2.14	1.89
 [CKT2009]d1028+70        	 102839.7+701401 	10	3.84	7.01	6.12	-3.21	-3.64	24	1.81	1.9
 NGC3077                  	 100321.0+684402 	9	3.85	9.57	8.8	-1.48	-1.06	23.1	2.33	1.88
 HolmIX                   	 095732.4+690235 	10	3.85	7.75	8.45	-2.03	-2.84	25.1	2.77	1.89
 UGCA292                  	 123840.0+324600 	10	3.85	6.79	7.49	-2.53	-2.48	24.7	-0.16	1.44
 KDG073                   	 105257.1+693245 	10	3.91	6.6	6.56	-3.56	-4.72	26.1	1.19	1.9
 IC2574                   	 102822.4+682458 	8	3.93	9.33	9.04	-0.8	-1	24.8	1.53	1.9
 DDO082                   	 103035.0+703710 	9	3.93	8.39	6.46	-2.6	-2.56	24.6	1.46	1.9
 A0952+69                 	 095729.0+691620 	10	3.93	6.87	7.02	-2.96	-3.21	26.5	1.9	1.9
 HS117                    	 102125.2+710658 	10	3.96	6.72	5.01	-4.32	-4.82	26.5	1.42	1.9
 NGC0625                  	 013505.0-412611 	8	4.02	8.96	8	-1.52	-1.2	24.3	-0.33	-0.72
 HolmI                    	 094032.3+711111 	10	4.02	8.05	8.05	-1.85	-2.21	25.4	1.31	1.89
 DDO154                   	 125405.2+270855 	10	4.04	7.59	8.28	-1.91	-2.52	24.3	0.31	1.33
 BK3N                     	 095348.5+685809 	10	4.17	6.12	7.29	-3.49	-5.23	24.7	0.96	1.9
 UGC07298                 	 121628.6+521338 	10	4.19	7.24	7.27	-2.88	-4.25	24.1	-0.35	1.37
 UGC06541                 	 113329.1+491417 	10	4.23	7.83	7.04	-2.11	-1.98	24.2	-0.64	0.47
 DDO168                   	 131428.6+455510 	10	4.25	8.13	8.33	-1.77	-2.13	24.4	0.68	1.41
 DDO167                   	 131322.8+461911 	10	4.25	7.19	7.2	-2.49	-2.87	24.2	1.61	1.41
 NGC4449                  	 122811.2+440540 	8	4.27	9.68	8.65	-0.24	-0.2	22.6	0.76	1.4
 [CKT2009]d0959+68        	 095933.1+683925 	10	4.27	6.44	        	-3.65	-4.04	25.9	0.72	1.9
 NGC2915                  	 092611.5-763735 	9	4.29	8.74	8.64	-1.16	-1.31	22.5	-1.09	-1.09
 UGC08638                 	 133919.4+244633 	10	4.29	7.97	7.08	-2.26	-2.42	24.1	-0.16	1.24
 NGC1313                  	 031815.4-662951 	7	4.31	9.57	9.29	-0.09	-0.27	23.4	-0.68	-0.5
 NGC4244                  	 121729.9+374827 	6	4.31	9.52	9.19	-0.5	-0.9	25	0.36	1.41
 DDO169NW                 	 131519.2+473218 	10	4.33	6.34	7	-2.99	-3.58	26	0.27	1.39
 KK160                    	 124357.4+433941 	10	4.33	6.6	6.6	-4.43	-4.88	24.8	1.51	1.44
 IC4182                   	 130549.3+373621 	8	4.35	8.7	8.29	-1.28	-1.6	24.7	0.96	1.44
 IC4316                   	 134018.1-285340 	10	4.35	8.21	7.04	-2.38	-2.63	24.6	0.65	1.65
 UGCA442                  	 234346.0-315733 	8	4.37	8.03	8.22	-1.84	-2.18	26	-0.3	0.45
 NGC4068                  	 120402.4+523519 	9	4.39	8.3	8.08	-1.65	-1.82	24.1	-0.48	0.53
 NGC4236                  	 121643.3+692756 	8	4.41	9.61	9.14	-0.4	-0.61	24.9	-0.16	0.18
 NGC4736                  	 125053.5+410710 	2	4.41	10.56	8.28	-0.53	-0.43	23	-0.13	0.85
 NGC4826                  	 125644.2+214105 	2	4.41	10.49	8.27	-1.03	-0.64	23	-0.73	-0.86
 DDO169                   	 131530.7+472947 	10	4.41	7.73	7.75	-2.22	-2.7	25.3	0.28	1.39
 NGC5238                  	 133442.7+513650 	10	4.51	8.02	7.42	-1.99	-1.96	23.7	-0.41	-0.27
 KK109                    	 114711.2+434019 	10	4.51	6.35	6.54	-4.12	-5.39	24.9	-0.32	1.41
 ESO245-005               	 014503.6-433553 	9	4.57	8.53	8.6	-1.34	-1.59	24.2	-0.73	-0.29
 IC3687                   	 124215.1+383007 	10	4.57	8.19	7.9	-1.75	-1.89	25.9	1.2	1.48
 UGC08215                 	 130803.6+464941 	10	4.57	7.18	7.28	-2.95	-3.46	24.3	0.42	1.39
 NGC5204                  	 132936.4+582504 	8	4.59	8.84	8.59	-0.98	-1.12	23.7	-0.88	-0.67
 ESO444-084               	 133720.2-280246 	10	4.61	7.61	7.9	-2.28	-2.53	24.2	1.37	1.62
 MCG +09-20-131           	 121546.7+522315 	10	4.61	7.5	7.37	-2.53	-3.84	23.9	-0.43	0.61
 KKH34                    	 055941.2+732539 	10	4.61	7.17	6.76	-3.91	-3.9	25	-0.65	-1.76
 UGC06456                 	 112800.6+785929 	10	4.63	7.66	7.82	-1.89	-1.79	23.6	-0.31	0.4
 DDO127                   	 122828.5+371400 	10	4.72	7.64	7.67	-2.29	-3.3	24.6	0.36	1.47
 UGC08245                 	 130834.2+785613 	9	4.72	7.78	        	-2.46	-3.02	24.9	-0.58	0.38
 UGC07605                 	 122839.0+354305 	10	4.74	7.71	7.38	-2.18	-2.56	24.2	0.69	1.48
 NGC4395                  	 122549.8+333246 	8	4.76	9.47	9.08	-0.47	-0.75	24.8	-0.12	1.45
 KK200                    	 132436.0-305820 	10	4.76	7.31	6.86	-3.09	-4.26	24.4	1.56	1.62
 NGC5264                  	 134137.0-295450 	8	4.79	8.88	7.7	-1.83	-1.92	23.8	2.46	1.61
 KKH18                    	 030305.9+334140 	10	4.79	7.28	7.14	-2.57	-3.21	24.1	-1.17	-1.67
 UGC00685                 	 010722.3+164102 	9	4.81	8.03	7.8	-2.27	-2.25	24.6	-1.51	      
 DDO165                   	 130626.8+674215 	9	4.83	8.23	8.08	-1.66	-2.58	24.9	-0.64	0.75
 MCG +06-27-017           	 120956.4+362607 	9	4.85	7.89	        	-2.71	-3.71	23.9	-0.22	1.47
 NGC5236                  	 133700.1-295204 	5	4.9	10.86	9.99	0.2	0.44	22.9	0.54	0.09
 NGC0059                  	 001525.1-212638 	-3	4.9	8.66	7.34	-2.27	-1.98	23.3	-0.37	-1.44
 DDO226                   	 004303.8-221501 	10	4.92	7.71	7.53	-2.46	-2.9	25.2	-0.27	-0.58
 DDO126                   	 122705.1+370833 	10	4.97	8.09	8.03	-1.85	-2.06	25	-0.02	1.47
 AF7448_001               	 225935.3+164611 	10	5	6.95	6.55	-3.24	-3.16	22.9	-1.73	      
 KK17                     	 020009.9+284957 	10	5.01	7.02	6.76	-3.51	-3.53	25.6	-0.96	-0.3
 ESO115-021               	 023745.0-612028 	7	5.08	8.75	8.58	-1.44	-1.63	25.8	-1.33	0.32
 PGC039646                	 121915.6+061738 	9	5.15	7.44	6.57	-3.08	-3.22	24.1	-1.13	-1.24
 IC4247                   	 132644.4-302145 	10	5.18	8.25	7.59	-2.18	-2.78	23.9	1.29	1.65
 UGC01281                 	 014932.3+323533 	7	5.27	8.57	8.28	-1.61	-1.94	24.7	-1.2	-0.55
 NGC3738                  	 113548.6+543122 	9	5.3	8.92	8.06	-1.26	-1.37	23.1	-1.01	-0.83
 NGC0784                  	 020116.8+285037 	8	5.37	8.67	8.53	-1.33	-1.46	24.7	-1.3	-0.64
 NGC4656                  	 124357.6+321013 	8	5.4	9.59	9.19	-0.01	-0.52	24.5	3.31	0.36
 UGCA365                  	 133630.8-291411 	10	5.42	7.73	7.29	-2.77	-4.42	24.9	0.73	1.65
 NGC5068                  	 131855.3-210221 	6	5.45	9.78	8.87	-0.5	-0.28	23.9	-0.15	-0.28
 UGC07242                 	 121407.4+660532 	10	5.45	7.92	7.69	-2.17	-2.75	23.6	-0.4	0.47
 ESO381-020               	 124600.4-335017 	10	5.47	7.95	8.37	-1.77	-1.75	25.1	-0.33	-0.68
 IC5052                   	 205206.2-691214 	7	5.5	9.27	8.81	-0.83	-1.12	23.9	-1.84	      
 IC3840                   	 125146.1+214407 	10	5.5	7.04	7.21	-2.69	-3.1	25.3	-0.6	-1.26
 NGC4605                  	 124000.3+613629 	8	5.55	9.7	8.44	-0.77	-0.66	23.1	-1.07	-0.82
 NGC1311                  	 032007.4-521106 	8	5.55	8.43	8.04	-1.67	-1.55	25.2	-1.19	-0.18
 BTS76                    	 115844.1+273506 	10	5.57	6.82	        	-3.88	-3.68	24.8	-1.17	-1.35
 KK16                     	 015520.6+275715 	10	5.62	7.35	6.86	-3	-3.43	25.3	-0.71	-0.32
 NGC5585                  	 141948.3+564349 	7	5.7	9.03	8.82	-0.8	-1.08	23.4	-0.51	-1.08
 UGCA281                  	 122616.0+482931 	10	5.7	7.82	7.77	-1.78	-1.29	23.8	-0.92	-0.17
 NGC1705                  	 045413.7-532141 	9	5.73	8.62	8.06	-0.98	-0.98	23	-1.87	      
 DDO194                   	 143524.6+571524 	8	5.81	8.09	7.83	-2.37	-3.35	24.7	-0.1	-0.21
 UGC02905                 	 035700.6+163128 	10	5.83	8.02	7.56	-2.13	-2.59	23.6	-1.97	      
 ESO154-023               	 025650.4-543423 	8	5.86	8.93	9.14	-1	-1.32	25.5	-1.69	-0.47
 NGC6946                  	 203451.1+600915 	6	5.89	10.76	9.88	0.28	0.39	23.2	0.56	0.4
 KK182                    	 130502.9-400458 	10	5.94	7.49	7.65	-2.56	-3.26	24.5	-0.67	-1.17
 NGC5023                  	 131211.9+440219 	7	6.05	9.01	8.58	-0.96	-1.31	24.8	-0.89	-1.07
 AGC112521                	 014107.9+271926 	10	6.08	6.81	6.75	-3.88	-4.2	25.1	-1.46	-0.31
 LV J1243+4127            	 124355.7+412725 	10	6.09	6.97	7.02	-3.33	-4.55	26.4	-0.8	-0.19
 Arp211                   	 123721.3+384443 	10	6.14	7.56	7.29	-1.98	-2.61	23.9	-0.86	0.48
 KK144                    	 122527.9+282857 	10	6.15	7.27	7.86	-2.47	-3.26	25.3	-0.87	0.39
 IC1959                   	 033311.8-502438 	8	6.19	8.49	8.38	-1.18	-1.38	24.5	-1.49	-0.19
 AGC748778                	 000634.4+153039 	10	6.22	6.39	6.64	-3.53	-4.64	24.9	-1.87	-2.72
 NGC6503                  	 174927.6+700841 	6	6.25	10	8.86	-0.56	-0.37	23.1	0	-1.39
 NGC6503-d1               	 175248.4+700814 	10	6.25	6.44	 <6.16  	-4.09	-3.01	25.7	3.56	0.75
 UGC02684                 	 032023.7+171742 	10	6.49	7.57	7.92	-2.26	-2.84	26	0.22	-0.9
 UGC02716                 	 032407.2+174515 	8	6.5	8.36	7.69	-1.97	-2.25	23.9	-0.56	-1.68
 NGC4707                  	 124822.9+510953 	10	6.52	8.25	8.05	-1.61	-1.9	23.6	-0.45	0.06
 KK151                    	 123023.8+425405 	9	6.56	7.6	7.3	-2.45	-2.97	24.6	-0.33	0.33
 UGC11411                 	 190842.3+701702 	9	6.58	7.85	        	-1.84	-1.72	23.4	-0.69	0.75
 NGC3621                  	 111816.1-324842 	7	6.64	10.34	9.62	0.1	0.25	23.5	-1.7	-2.03
 NGC0045                  	 001403.9-231056 	8	6.64	9.33	9.18	-0.45	-0.54	24.6	-1.05	0.23
 ESO553-046               	 052705.7-204041 	9	6.7	8.17	7.46	-1.61	-1.25	23.3	-2.14	      
 KKH46                    	 090836.6+051732 	10	6.7	7.16	7.44	-2.67	-2.6	24.5	-1.65	      
 NGC5477                  	 140533.1+542739 	9	6.76	8.26	8.6	-1.51	-1.62	24.3	1.97	1.56
 UGC00288                 	 002904.0+432554 	10	6.82	7.8	7.69	-2.33	-2.61	24.2	-1.89	-2.04
 NGC4144                  	 120959.3+462726 	7	6.89	9.25	8.71	-0.81	-0.92	24.1	0.25	1.68
 KK152                    	 123324.9+332105 	10	6.9	7.44	7.54	-2.48	-3.02	25	0.41	1.29
 MESSIER101               	 140312.8+542102 	6	6.95	10.79	9.86	0.52	0.46	24.3	1.31	0.12
 NGC5474                  	 140502.1+533947 	8	6.98	9.21	9.01	-0.69	-0.89	23.5	2.89	1.55
 ESO149-003               	 235202.8-523439 	10	7.01	7.95	7.9	-1.79	-2.23	25.6	-1.85	      
 KK14                     	 014442.7+271716 	10	7.05	7.08	7.54	-2.94	-3.5	25.3	1.08	0.62
 KJ78                     	 092036.4+494031 	10	7.08	6.58	        	-3.2	-3.79	25.1	-1.2	-1.21
 KK78                     	 095019.6+312724 	10	7.1	6.92	7.35	-2.88	-3.14	24.3	2.76	-0.8
 LV J1000+3032            	 100036.5+303210 	10	7.1	6.76	6.33	-3.39	-3.88	23.9	-1.26	-0.8
 DDO064                   	 095022.4+312915 	10	7.11	8.04	8.24	-1.49	-1.67	24.7	1.63	-0.99
 UGC07639                 	 122953.0+473148 	9	7.14	8.33	7.62	-1.97	-2.94	24.3	0.7	1.7
 NGC0672                  	 014753.2+272601 	6	7.18	9.65	9.22	-0.45	-0.7	23.5	0.23	0.24
 And IV                   	 004232.3+403419 	10	7.18	7.22	8.44	-2.42	-3.12	25.6	-1.76	-1.46
 DDO120                   	 122115.0+454841 	9	7.28	8.73	8.04	-1.94	-4.14	24	1.06	1.7
 KDG101                   	 121909.1+470523 	-1	7.28	8.41	        	-4.49	-3.92	24.8	1.22	1.7
 NGC4700                  	 124907.6-112441 	7	7.3	8.86	8.43	-0.86	-1.74	23.8	-0.71	-0.17
 DDO161                   	 130316.8-172523 	8	7.3	8.91	8.99	-0.89	-1.11	26	1.47	-0.24
 UGCA319                  	 130214.4-171415 	10	7.3	8.22	7.97	-2.08	-3.1	23.9	2.15	-0.03
 NGC4627                  	 124159.7+323425 	-3	7.3	9.5	        	-2.43	-4.24	22.9	3.56	1.25
 NGC0024                  	 000956.4-245748 	5	7.31	9.48	8.64	-0.6	-1.01	24.5	-1.2	0.07
 NGC4631                  	 124208.0+323229 	7	7.35	10.49	9.72	0.76	-0.1	23.3	2.57	0.34
 MCG +09-16-010           	 092317.0+515823 	8	7.35	7.63	        	-2.42	-2.7	24.6	-1.04	-1.4
 IC4710                   	 182838.0-665856 	8	7.38	9.24	8.6	-0.86	-0.87	23.8	-0.99	      
 ESO483-013               	 041241.1-230932 	9	7.4	8.72	7.63	-1.8	-1.82	23.5	-1.62	      
 NGC4248                  	 121749.9+472433 	8	7.4	8.82	7.79	-2.22	-1.92	24.3	1.73	1.7
