 Name           	     J2000.0     	 T  	   D   	 logM* 	 logMHI 	 logSFRFUV	 logSFRHa	  SB  	  Th1  	  Thj  
 [CKT2009]d0934+70        	 093403.7+701257 	-3	3.02	6.64	        	-4.32	 <-5.07  	26.4	0.46	1.91
 [CKT2009]d0944+69        	 094422.5+691240 	-3	3.84	5.88	        	 <-4.94   	 <-5.08  	26	2.42	1.89
 F8D1                     	 094447.1+672619 	-3	3.75	7.98	 <6.20  	 <-4.96   	-4.4	25.9	2.6	1.91
 FM1                      	 094510.0+684554 	-3	3.78	7.23	 <6.21  	 <-5.02   	-4.95	25.8	2.89	1.91
 KK77                     	 095010.0+673024 	-3	3.8	7.84	 <6.21  	 <-4.78   	-4.95	26.6	2.46	1.89
 [CKT2009]d0955+70        	 095513.6+702429 	-3	3.45	6.48	        	 <-4.85   	 <-5.24  	25.6	1.95	1.91
 KKSG16                   	 095947.5-092036 	-3	9.7	7.85	 <7.03  	 <-4.21   	         	26.2	1.33	1.72
 KKH57                    	 100016.0+631106 	-3	3.68	6.97	 <5.46  	 <-5.22   	-5.02	25.4	1.24	1.89
 BK5N                     	 100440.3+681520 	-3	3.7	7.18	        	-5.4	-5.13	25.5	3.36	1.89
 KDG063                   	 100507.3+663318 	-3	3.65	7.84	6.95	 <-4.98   	-4.14	25.9	2.23	1.91
 KDG065                   	 100534.4-074457 	-3	9.7	8.39	        	-4.49	         	25.1	4.91	1.71
 [CKT2009]d1006+67        	 100646.2+671204 	-3	3.61	6.31	        	 <-5.06   	 <-5.33  	25.7	2.37	1.91
 KDG064                   	 100701.9+674939 	-3	3.75	7.99	        	-5.51	-4.44	25.4	2.77	1.89
 Segue 1                  	 100703.2+160425 	-3	0.02	3.24	 <1.12  	          	         	29	4.27	1.75
 IKN                      	 100805.9+682357 	-3	3.75	7.6	 <6.20  	 <-5.07   	-4.91	27.2	2.98	1.89
 SexDSph                  	 101303.0-013652 	-3	0.09	6.42	 <4.01  	-7.77	         	27.2	2.69	1.75
 DDO078                   	 102627.9+673924 	-3	3.48	7.48	        	-4.82	-5.07	26.6	1.58	1.89
 BK6N                     	 103431.9+660042 	-3	3.31	7.25	        	 <-5.34   	-5.12	25.7	0.92	1.89
 UMa I                    	 103448.8+515606 	-3	0.1	4.87	 <3.80  	 <-8.36   	 <-8.28  	30	2.54	1.75
 LeG14                    	 104614.4+125736 	-3	10.4	7.55	 <7.06  	 <-4.31   	         	25.1	1.9	2.2
 KK93                     	 104624.8+140130 	-3	10.4	7.84	 <7.09  	 <-4.29   	         	25.4	3.04	2.14
 KK96                     	 105027.1+122139 	-3	10.4	7.71	        	-4.37	         	25.8	2.02	2.2
 LSBC D640-08             	 110052.1+135251 	-3	10.4	8.23	        	-4.59	         	25.1	0.28	1.97
 LeoII                    	 111329.2+220917 	-3	0.25	6.72	 <3.44  	-7.29	         	26.6	1.4	1.73
 LeoV                     	 113109.6+021312 	-3	0.18	4.46	 <2.59  	 <-7.83   	         	29.2	1.84	1.73
 LeoIV                    	 113257.0-003200 	-3	0.16	4.63	 <2.78  	-7.86	 <-7.16  	29.8	1.99	1.73
 Crater                   	 113615.8-105240 	-3	0.17	5.05	 <4.11  	 <-7.89   	         	24.8	1.9	1.73
 Crater 2                 	 114914.4-182447 	-3	0.12	5.82	        	          	         	30.9	2.39	1.73
 BTS116                   	 121857.3+283311 	-3	3.96	7.8	        	 <-5.13   	         	24.4	-0.36	1.32
 KK134                    	 121933.8+472706 	-3	7.66	7.95	        	-4.31	         	23.4	4.8	1.76
 d1219+4705               	 121936.8+470533 	-3	7.66	7.32	        	 <-4.57   	         	24.5	4.44	1.77
 [KKH2011]S11             	 122030.1+472925 	-3	7.66	6.55	        	-4.37	         	26.3	4.06	1.76
 KK136                    	 122040.6+470003 	-3	7.66	7.75	        	          	 <-4.31  	24.4	3.7	1.77
 d1220+4649               	 122055.0+464945 	-3	7.66	6.99	        	-4.83	         	25	3.29	1.77
 BTS132                   	 122346.2+473932 	-3	7.66	7.39	        	-4.83	         	24.9	2.74	1.76
 ComaI                    	 122658.4+235442 	-3	0.04	4.24	 <1.63  	 <-9.11   	         	28.4	3.68	1.75
 KKSG31                   	 123833.7-102925 	-3	9.55	7.88	 <7.01  	 <-4.36   	         	25.8	2.47	2.08
 N4594-DGSAT-3            	 123932.8-111338 	-3	9.55	7.39	 <7.01  	 <-4.31   	         	26.2	3.85	2.07
 Sombrero DwA             	 123951.5-112029 	-3	9.55	6.99	 <7.01  	 <-4.31   	         	25.3	4.33	2.07
 KKSG32                   	 123955.0-114448 	-3	9.55	7.6	 <7.01  	-4.67	         	25.9	5.4	2.07
 KKSG33                   	 124008.9-122153 	-3	9.55	7.59	 <7.01  	 <-4.31   	 <-3.42  	25.6	3.08	2.07
 Sombrero DwB             	 124112.0-115333 	-3	9.55	7.2	 <7.01  	 <-4.28   	         	26.3	3.88	2.07
 KKSG34                   	 124118.9-115539 	-3	9.55	7.8	 <7.01  	 <-4.28   	         	25.7	3.74	2.07
 NGC4627                  	 124159.7+323425 	-3	7.3	9.5	        	-2.43	-4.24	22.9	3.56	1.25
 KK166                    	 124913.3+353645 	-3	4.39	7.21	        	 <-5.09   	-4.88	25.1	0.72	1.44
 ESO219-010               	 125609.6-500838 	-3	4.29	8.03	 <5.72  	          	-3.11	23.8	0.13	1.85
 KDG216                   	 125625.0+150509 	-3	6	7.78	 <6.77  	 <-4.80   	         	25.7	-1.17	-0.9
 CVnII                    	 125710.0+341915 	-3	0.16	4.59	 <4.10  	-7.36	         	27.5	1.98	1.73
 [KK2000] 53              	 131114.2-385422 	-3	2.92	7.46	 <6.14  	 <-5.19   	         	24.4	0.21	1.88
 KK189                    	 131245.0-414955 	-3	4.23	7.48	 <5.22  	 <-4.79   	 <-5.26  	24.6	0.65	1.87
 KK197                    	 132201.8-423208 	-3	3.84	8.11	 <5.46  	 <-4.74   	 <-5.31  	25.1	2.28	1.88
 [KK2000] 55              	 132212.4-424351 	-3	3.85	7.81	 <6.30  	 <-4.76   	 <-5.31  	24.3	2.17	1.88
 KK198                    	 132256.1-333422 	-3	4.9	7.39	 <5.87  	-4.21	 <-5.18  	24.7	1.06	1.62
 AM1320-230               	 132329.9-232335 	-3	4.9	7.46	 <5.83  	-4.26	 <-5.17  	25.2	0.54	1.65
 CVnI                     	 132803.5+333321 	-3	0.22	6.1	 <3.08  	 <-7.67   	 <-7.62  	28.3	1.54	1.73
 NGC5206                  	 133343.9-480904 	-3	3.21	8.95	 <6.54  	          	 <-4.40  	22.9	0.95	1.88
 KK208                    	 133635.5-293415 	-3	5.01	8.71	 <6.69  	-5.16	 <-5.18  	26.6	2.69	1.65
 [KK2000] 57              	 134138.1-423455 	-3	3.84	7.28	 <6.38  	          	         	24.7	1.73	1.88
 KK213                    	 134335.8-434609 	-3	3.77	7.52	 <6.36  	          	 <-5.38  	23.7	1.81	1.88
 [KK2000] 58              	 134600.8-361944 	-3	3.6	7.21	 <5.56  	          	 <-5.45  	25.8	0.83	1.88
 KK217                    	 134617.2-454105 	-3	3.5	7.22	 <5.06  	          	         	25	1.34	1.88
 KK218                    	 134639.5-295845 	-3	4.94	7.4	 <5.36  	 <-4.83   	 <-5.18  	25.6	2.09	1.62
 CenN                     	 134809.2-473354 	-3	3.66	7.32	 <6.34  	          	         	25.3	1.16	1.87
 BootesIII                	 135712.0+264800 	-3	0.05	5.29	 <2.98  	 <-9.00   	         	29.9	3.61	1.75
 UMin                     	 150911.3+671252 	-3	0.06	5.8	 <1.59  	 <-8.76   	         	27.8	3.22	1.75
 Hercules                 	 163103.6+124724 	-3	0.15	5.39	 <2.72  	 <-7.88   	         	29.1	2.14	1.73
 Draco                    	 172001.4+575434 	-3	0.08	6.45	 <2.12  	 <-8.52   	         	27.2	2.88	1.75
 Sag dSph                 	 185503.1-302842 	-3	0.02	8.02	 <3.67  	          	         	26.1	5.3	1.75
 Kim2                     	 210849.1-510956 	-3	0.1	4.12	 <3.36  	          	         	27.7	2.67	1.75
 Segue 3                  	 212131.0+190702 	-3	0.02	3.19	        	 <-9.67   	 <-9.86  	24.9	4.99	1.75
 KK258                    	 224043.9-304759 	-3	2.24	7.16	 <5.75  	-4.48	-4.68	26	-0.91	0.3
 Tucana 2                 	 225155.1-583408 	-3	0.06	4.22	 <2.83  	          	         	30.7	3.4	1.75
 Grus 1                   	 225642.4-500948 	-3	0.12	4.04	 <3.48  	          	         	29	2.39	1.75
 Lac I                    	 225816.3+411728 	-3	0.76	7.34	        	          	 <-6.42  	27	1.52	1.75
 PiscesII                 	 225831.0+055709 	-3	0.18	4.7	        	-7.56	-7.5	27	1.82	1.75
 ApplesI                  	 231503.3-423222 	-3	8.32	6.25	        	 <-4.54   	         	25	-1.54	      
 Cas dSph                 	 232631.8+504032 	-3	0.82	7.66	 <5.63  	 <-5.95   	-6.11	24.4	1.68	1.75
 Phoenix 2                	 233959.4-542422 	-3	0.08	3.81	 <3.14  	          	         	27.8	2.88	1.75
 Peg dSph                 	 235147.3+243453 	-3	0.82	7.22	 <4.21  	 <-6.38   	-6.37	25.7	1.45	1.75
 And XXI                  	 235447.7+422815 	-3	0.86	6.34	        	 <-6.24   	 <-6.31  	29.6	2.2	1.75
 PAndAS-01                	 235712.0+433308 	-3	0.78	5.74	        	 <-6.33   	         	24.1	2.55	1.75
 PAndAS-02                	 235755.6+414649 	-3	0.78	5.45	        	 <-6.28   	         	25.6	2.6	1.75
 And XVII                 	 003707.0+441920 	-2	0.74	5.78	 <5.54  	-5.71	-5.57	28.3	3.65	1.75
 NGC0205                  	 004022.5+414111 	-2	0.8	8.9	5.58	-3.12	 <-7.73  	23.5	4.33	1.75
 MESSIER032               	 004242.1+405159 	-2	0.79	9.09	 <6.42  	-3.59	-5.88	22	4.72	1.75
 Scl-MM-Dw2               	 005017.1-244459 	-2	3.12	7.36	 <5.08  	          	         	29.1	0.72	1.76
 Cetus III                	 020519.4-041612 	-2	0.25	3.67	        	          	         	30.7	1.37	1.75
 UGC01703                 	 021255.8+324851 	-2	4.31	7.59	 <6.32  	 <-4.83   	-4.83	24.9	-1.01	-1.78
 Triangulum II            	 021317.4+361042 	-2	0.03	3.45	        	          	         	29.4	3.91	1.75
 Perseus I                	 030123.6+405918 	-2	0.79	6.8	        	          	 <-6.38  	26.4	1.13	1.75
 Pictor II                	 064443.2-595400 	-2	0.05	4.13	        	          	         	28.5	4.26	1.75
 MADCASH J0742+65dw       	 074238.9+652502 	-2	3.39	5.86	 <4.83  	 <-5.26   	         	26.7	0.99	1.91
 UMa II                   	 085130.0+630748 	-2	0.03	4.18	 <1.91  	-8.84	 <-9.16  	30.2	3.87	1.75
 N2683dw2                 	 085420.5+331458 	-2	9.82	7.14	        	 <-4.34   	         	26.2	3.38	1.55
 KSP-DW3                  	 085825.5-244455 	-2	9.82	8.22	        	 <-3.55   	         	22.7	0.61	1.56
 KSP-DW6                  	 090402.4-225652 	-2	9.82	6.99	        	 <-3.72   	         	27.4	1.07	1.66
 KSP-DW13                 	 091000.0-241019 	-2	9.82	7.86	        	 <-3.85   	         	25.2	2.96	1.66
 KSP-DW14                 	 091025.0-240130 	-2	9.82	7.84	        	 <-3.89   	         	25.3	3.15	1.66
 KSP-DW15                 	 091110.7-242441 	-2	9.82	7.83	        	 <-3.96   	         	25.4	3.48	1.66
 NGC2784                  	 091219.4-241018 	-2	9.82	10.8	        	-1.21	-1.06	23.1	3.08	1.02
 KSP-DW20                 	 091440.5-241510 	-2	9.82	7.45	        	 <-3.96   	         	25.8	2.93	1.66
 KSP-DW21                 	 091508.4-250258 	-2	9.82	6.45	        	 <-3.96   	         	25.4	2.02	1.66
 KSP-DW23                 	 091601.6-233623 	-2	9.82	6.32	        	 <-4.09   	         	26	2.11	1.66
 d1005+68                 	 100531.8+681420 	-2	3.98	5.92	        	 <-5.05   	         	26.9	1.58	1.9
 LeG09                    	 104234.6+120902 	-2	10.4	7.63	 <7.09  	 <-4.30   	         	26.3	1.99	2.1
 LeG16                    	 104630.0+114521 	-2	10.4	7.43	        	 <-4.30   	         	24.9	4.51	2.2
 NGC3377                  	 104742.4+135908 	-2	10.42	10.38	        	-2.29	-1.79	23.4	1.27	2.1
 Willman1                 	 104921.0+510300 	-2	0.04	3.72	 <2.96  	-8.51	         	27.4	3.7	1.75
 LeG26                    	 105121.1+125057 	-2	10.4	8.27	 <7.41  	-3.76	         	24.7	1.54	2.2
 KKH65                    	 105159.1+282145 	-2	10	8.02	        	 <-4.36   	         	24.8	-0.18	1.08
 LeG27                    	 105220.1+144226 	-2	10.4	7.58	        	-3.92	         	25	1.25	1.96
 LSBC D640-14             	 105810.5+115957 	-2	10.4	7.61	        	-4.3	         	25.5	0.75	1.97
 KKH67                    	 112303.5+211937 	-2	10	7.63	        	 <-4.34   	         	26.2	-0.5	0.4
 PGC4561602               	 115504.2+282053 	-2	6.25	7.49	        	-4.41	         	24.5	-1.16	-1.21
 Virgo I                  	 120009.6-004048 	-2	0.09	3.03	        	          	         	30.5	2.78	1.73
 PGC4560429               	 120633.5+303716 	-2	6.37	7.35	        	 <-4.76   	         	24.1	-0.86	-0.84
 N4258dwC                 	 121026.8+464449 	-2	7.66	7.15	        	 <-4.60   	         	24.7	2.01	1.76
 KDG090                   	 121457.9+361308 	-2	2.98	7.59	        	 <-5.40   	-5.1	25.4	1.41	-0.13
 PGC213976                	 121943.6+293932 	-2	7.56	7.88	        	-4.34	         	24.3	-0.11	1.33
 PGC1853813               	 122116.6+290221 	-2	8.04	7.6	        	-3.76	         	23.5	-0.41	0.46
 Hydra II                 	 122142.1-315907 	-2	0.13	4.58	 <2.31  	 <-7.99   	         	28	2.24	1.73
 PGC40195                 	 122309.7+292059 	-2	7.18	7.9	        	-4.01	         	24.4	0.04	1.32
 N4258dwB                 	 122410.9+470723 	-2	7.66	7.42	        	 <-4.61   	         	25.1	2.71	1.77
 NGC 4631dw3              	 124252.5+322735 	-2	7.4	6.84	        	 <-4.63   	         	27.2	3.21	1.29
 BTS151                   	 124324.6+322856 	-2	7.3	7.75	        	 <-4.64   	         	25.4	3.26	1.29
 KK177                    	 130241.9+215951 	-2	4.4	7.34	        	 <-5.01   	         	25.4	2.41	1.24
